Unified_Table_ID,Legacy_Table_ID,Table_Code,Arabic_Name,Module,Purpose,PK,FKs,Core_Columns,Constraints_Indexes,Source_Status,P1_W1_Contract_ID,Disposition,Decision_Required,Notes
U-TBL-001,1,Companies,الشركات,ORG,الكيان القانوني الرئيسي,CompanyId,BaseCurrencyId->Currencies,Code varchar(30); ArabicName varchar(200); EnglishName varchar(200); LegalName varchar(250); TaxNo varchar(80); BaseCurrencyId bigint; Status tinyint; CreatedAt datetime,UQ(Code),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,YES,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-002,2,Branches,الفروع,ORG,فروع الشركات,BranchId,CompanyId->Companies,"CompanyId bigint; Code varchar(30); ArabicName varchar(200); EnglishName varchar(200); TimeZone varchar(80); Latitude decimal(10,7); Longitude decimal(10,7); Status tinyint","UQ(CompanyId,Code)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,YES,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-003,3,ServicePoints,نقاط الخدمة والمحطات,ORG,محطات السفر ونقاط الخدمة والتشغيل,ServicePointId,"CompanyId,BranchId","Type varchar(30); Code varchar(30); NameAr varchar(200); NameEn varchar(200); Address varchar(500); Latitude decimal(10,7); Longitude decimal(10,7); Status tinyint","IDX(BranchId,Type,Status)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-004,4,Hubs,المحاور,ORG,مراكز التجميع والتوزيع,HubId,BranchId,"Code varchar(30); NameAr varchar(200); Address varchar(500); CapacityWeight decimal(18,3); CapacityVolume decimal(18,3); Status tinyint","UQ(BranchId,Code)",LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-005,5,ServiceAreas,مناطق الخدمة,ORG,مناطق تقديم الخدمات,ServiceAreaId,"CompanyId,BranchId",Name varchar(200); AreaType varchar(30); GeoJson longtext; Status tinyint,Spatial index where supported,LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-006,6,ServiceTypes,أنواع الخدمات,ORG,تعريف Ride/Delivery/Transport/Travel,ServiceTypeId,-,Code varchar(30); NameAr varchar(200); NameEn varchar(200); Category varchar(30); PricingModel varchar(30); Status tinyint,UQ(Code),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-007,7,VehicleTypes,أنواع المركبات,FLT,تصنيف المركبات والسعات,VehicleTypeId,-,"Code varchar(30); NameAr varchar(200); WeightCapacity decimal(18,3); VolumeCapacity decimal(18,3); SeatCapacity int; Status tinyint",UQ(Code),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-008,8,Users,المستخدمون,PLT,حسابات الدخول,UserId,-,Username varchar(120); Mobile varchar(40); Email varchar(200); PasswordHash varchar(500); UserType varchar(30); Status tinyint; LastLoginAt datetime,UQ(Username); UQ(Mobile nullable),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,YES,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-009,9,Roles,الأدوار,PLT,أدوار الصلاحيات,RoleId,-,Code varchar(80); NameAr varchar(200); NameEn varchar(200); Status tinyint,UQ(Code),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,YES,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
U-TBL-010,10,Permissions,الصلاحيات,PLT,معجم صلاحيات الإجراءات,PermissionId,-,Code varchar(150); Module varchar(30); Action varchar(50); Description varchar(500),UQ(Code),LEGACY_REGISTERED,,RETAIN_AND_NORMALIZE,YES,السجل القديم محفوظ كما هو؛ أي تغيير لاحق يمر عبر إدارة التغيير وإصدار جديد.
