Unified_Screen_ID,Legacy_Screen_ID,Module,Group,Arabic_Name,English_Name,Application,Priority,Purpose,Tabs_Areas,Key_Fields,Grid_Columns,Actions,Workflow,Permissions,Related_Tables,Benchmark_Refs,P1_W3_Screen_ID,P1_W3_Contract_Status,Disposition,Decision_Required,Notes
U-SCR-001,PLT-001,PLT,المنصة والهوية,تسجيل الدخول,Login,جميع التطبيقات (All Apps),P0,الدخول الآمن إلى المنصة وتحديد سياق المستخدم.,الدخول (Sign-in),اسم المستخدم/الجوال (Username/Mobile) | كلمة المرور (Password) | تذكرني (Remember Me) | اللغة (Language),N/A,دخول (Sign In) | نسيت كلمة المرور (Forgot Password) | خروج (Exit),إدخال الهوية → تحقق → MFA عند الحاجة → إنشاء جلسة → تحميل السياق والصلاحيات,Auth.Login,Users | UserSessions,"R21,R22",W3-P1-001,MAPPED_TO_LEGACY_SCREEN,RETAIN_AND_NORMALIZE,YES,تثبيت الربط لا يعني إغلاق W3؛ تفاصيل الحقول والحالات والأفعال محفوظة في عقد W3.
U-SCR-002,PLT-002,PLT,المنصة والهوية,التحقق متعدد العوامل,Multi-Factor Authentication,جميع التطبيقات (All Apps),P0,تأكيد هوية المستخدم بعامل إضافي.,التحدي (Challenge),طريقة التحقق (Method) | رمز التحقق (Verification Code) | الجهاز الموثوق (Trusted Device),N/A,تحقق (Verify) | إعادة إرسال (Resend) | استخدام طريقة أخرى (Use Another Method),Challenge → Verify → Success/Fail → Audit,Auth.MFA,MfaChallenges | TrustedDevices | AuditLogs,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-003,PLT-003,PLT,المنصة والهوية,اختيار سياق التشغيل,Operating Context Selection,ويب الإدارة/سطح المكتب (Admin Web/Desktop),P0,تحديد الشركة والفرع ونقطة التشغيل قبل بدء العمل.,السياق (Context),الشركة (Company) | الفرع (Branch) | نقطة الخدمة (Service Point) | السنة المالية (Fiscal Year) | اللغة (Language),N/A,اعتماد السياق (Set Context) | إلغاء (Cancel),اختيار → تحقق من الصلاحية → تثبيت السياق للجلسة,Context.Select,UserContexts | Branches | ServicePoints,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-004,PLT-004,PLT,المنصة والهوية,المستخدمون,Users,ويب الإدارة (Admin Web),P0,إدارة حسابات مستخدمي النظام.,البيانات الأساسية (General) | الأدوار (Roles) | نطاق البيانات (Data Scope) | الأجهزة (Devices) | التدقيق (Audit),اسم المستخدم (Username) | الاسم (Name) | الجوال (Mobile) | البريد (Email) | الحالة (Status) | نوع المستخدم (User Type),الدور (Role) | الشركة (Company) | الفرع (Branch) | الحالة (Status),جديد (New) | حفظ (Save) | تعطيل (Disable) | إعادة تعيين كلمة المرور (Reset Password) | إلغاء الجلسات (Revoke Sessions),Draft → Active → Suspended/Disabled,Users.View | Users.Manage,Users | UserRoles | UserScopes | UserSessions,,W3-P1-002,MAPPED_TO_LEGACY_SCREEN,RETAIN_AND_NORMALIZE,YES,تثبيت الربط لا يعني إغلاق W3؛ تفاصيل الحقول والحالات والأفعال محفوظة في عقد W3.
U-SCR-005,PLT-005,PLT,المنصة والهوية,الأدوار والصلاحيات,Roles & Permissions,ويب الإدارة (Admin Web),P0,تعريف أدوار العمل وصلاحيات الشاشات والإجراءات.,الدور (Role) | الصلاحيات (Permissions) | نطاق البيانات (Data Scope) | فصل المهام (SoD),رمز الدور (Role Code) | اسم الدور (Role Name) | نوع الدور (Role Type) | الحالة (Status),الصلاحية (Permission) | الوحدة (Module) | الإجراء (Action) | مسموح (Allowed),جديد (New) | نسخ دور (Clone Role) | حفظ (Save) | تفعيل/تعطيل (Enable/Disable),تعريف → تعيين صلاحيات → تحقق SoD → تفعيل,Roles.View | Roles.Manage,Roles | Permissions | RolePermissions | RoleScopes,,W3-P1-003,MAPPED_TO_LEGACY_SCREEN,RETAIN_AND_NORMALIZE,YES,تثبيت الربط لا يعني إغلاق W3؛ تفاصيل الحقول والحالات والأفعال محفوظة في عقد W3.
U-SCR-006,PLT-006,PLT,المنصة والهوية,مركز الموافقات,Approval Center,ويب الإدارة (Admin Web),P0,صندوق مركزي للطلبات التي تحتاج اعتمادًا.,بانتظاري (Pending) | اعتمدت (Approved) | رفضت (Rejected) | الكل (All),نوع المستند (Document Type) | رقم المستند (Document No) | الفرع (Branch) | المبلغ/الأثر (Amount/Impact) | الطالب (Requester) | العمر (Age),الطلب (Request) | الحالة (Status) | الأولوية (Priority) | المستوى (Level) | تاريخ الطلب (Requested At),فتح (Open) | اعتماد (Approve) | رفض (Reject) | إرجاع للتعديل (Return) | تفويض (Delegate),Requested → Pending Levels → Approved/Rejected/Returned,Approval.View | Approval.Act,ApprovalRequests | ApprovalSteps | ApprovalActions,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-007,PLT-007,PLT,المنصة والهوية,مركز الإشعارات,Notification Center,ويب الإدارة (Admin Web),P1,إدارة إشعارات المستخدمين التشغيلية والمالية.,غير مقروء (Unread) | الكل (All) | تنبيهات حرجة (Critical),العنوان (Title) | الرسالة (Message) | النوع (Type) | الوقت (Time) | المرجع (Reference),النوع (Type) | الحالة (Status) | المرجع (Reference) | التاريخ (Date),فتح المرجع (Open Reference) | تعليم كمقروء (Mark Read) | كتم (Mute),Create → Deliver → Read/Acknowledge,Notifications.View,Notifications | NotificationDeliveries,,,,RETAIN_AND_NORMALIZE,NO,السجل القديم محفوظ كما هو.
U-SCR-008,PLT-008,PLT,المنصة والهوية,سجل التدقيق,Audit Log,ويب الإدارة (Admin Web),P1,عرض آثار التغييرات والأحداث الحساسة.,الأحداث (Events) | تفاصيل التغيير (Changes) | جلسة المستخدم (Session),المستخدم (User) | الإجراء (Action) | الكيان (Entity) | المعرف (Entity ID) | IP (IP) | الجهاز (Device) | الوقت (Timestamp),الحقل (Field) | قبل (Before) | بعد (After),بحث (Search) | تصدير (Export) | فتح المرجع (Open Reference),Append-only,Audit.View,AuditLogs | AuditChanges,,W3-P1-011,MAPPED_TO_LEGACY_SCREEN,RETAIN_AND_NORMALIZE,YES,تثبيت الربط لا يعني إغلاق W3؛ تفاصيل الحقول والحالات والأفعال محفوظة في عقد W3.
U-SCR-009,ORG-001,ORG,التهيئة والتنظيم,الشركات,Companies,ويب الإدارة (Admin Web),P0,تعريف وإدارة الشركات.,البيانات الأساسية (General) | العنوان والاتصال (Contact) | المالية (Finance) | المستندات (Documents) | التدقيق (Audit),رمز الشركة (Company Code) | الاسم (Name) | الاسم القانوني (Legal Name) | الرقم الضريبي (Tax No) | العملة الأساسية (Base Currency) | الحالة (Status) | ملاحظات (Notes) | آخر تعديل (Last Modified),الرمز (Code) | الاسم (Name) | الفرع/الشركة (Branch/Company) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | تعطيل/تفعيل (Disable/Enable) | بحث (Search),Draft/Active → Disable with reference checks,ORG-001.View | ORG-001.Manage,Companies,,W3-P1-004,MAPPED_TO_LEGACY_SCREEN,RETAIN_AND_NORMALIZE,YES,تثبيت الربط لا يعني إغلاق W3؛ تفاصيل الحقول والحالات والأفعال محفوظة في عقد W3.
U-SCR-010,ORG-002,ORG,التهيئة والتنظيم,الفروع,Branches,ويب الإدارة (Admin Web),P0,تعريف وإدارة الفروع.,البيانات الأساسية (General) | العنوان (Address) | نقاط التشغيل (Operating Points) | الحسابات (Accounting) | التدقيق (Audit),رمز الفرع (Branch Code) | الاسم (Name) | الشركة (Company) | المدينة (City) | المنطقة الزمنية (Time Zone) | الحالة (Status) | ملاحظات (Notes) | آخر تعديل (Last Modified),الرمز (Code) | الاسم (Name) | الفرع/الشركة (Branch/Company) | الحالة (Status),جديد (New) | حفظ (Save) | تعديل (Edit) | تعطيل/تفعيل (Disable/Enable) | بحث (Search),Draft/Active → Disable with reference checks,ORG-002.View | ORG-002.Manage,Branches,,W3-P1-004,MAPPED_TO_LEGACY_SCREEN,RETAIN_AND_NORMALIZE,YES,تثبيت الربط لا يعني إغلاق W3؛ تفاصيل الحقول والحالات والأفعال محفوظة في عقد W3.
