Source_ID — معرف المصدر,اسم المصدر,العائلة أو المسار,Authority_Class — فئة السلطة,Governance_Status — الحالة الحوكمية,النطاق,قرار التجميع,الاستخدام التنفيذي,الأولوية,ملاحظات
SRC-001,سجل_الملفات_الحاكمة_Current_Approved_References_V1.25.docx,Kurrasa 8-8 / Governing Register — كراسة 8-8 / سجل الحوكمة,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,اختيار المصادر الحاكمة العليا,RETAIN AS AUTHORITY — الاحتفاظ كمرجع سلطة,DIRECT — مباشر,P0,المرجع الأعلى لاختيار النسخ الحالية داخل نطاقه
SRC-002,Unified Execution / Design Book V1.3 — كتاب التنفيذ والتصميم الموحد V1.3,Kurrasa 8-8 / Unified Book — كراسة 8-8 / الكتاب الموحد,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,معنى الأعمال والتنفيذ والتصميم الموحد,RETAIN AS AUTHORITY — الاحتفاظ كمرجع سلطة,DIRECT — مباشر,P0,مرجع معنى الأعمال في نطاقه
SRC-003,W1 Logical Data Model + DB Constraint + Ownership + Screen→Entity — نموذج البيانات المنطقي وقيود قاعدة البيانات والملكية وتتبع الشاشة إلى الكيان,Kurrasa 8-8 / W1,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,البيانات والملكية والقيود والتتبع,RETAIN AS AUTHORITY — الاحتفاظ كمرجع سلطة,DIRECT — مباشر,P0,المصدر الحاكم للبيانات في نطاقه
SRC-004,API_Contract_Matrix_TransportERP_V1.6.xlsx,Kurrasa 8-8 / W2,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,API Routes / DTO / lifecycle contracts — مسارات واجهة البرمجة وعقود نقل البيانات ودورة الحياة,RETAIN AS AUTHORITY — الاحتفاظ كمرجع سلطة,DIRECT — مباشر,P0,مرجع W2 الحالي للعقود
SRC-005,Permission_Matrix_TransportERP_V1.1.xlsx,Kurrasa 8-8 / W2,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,Permissions / Scope / Security — الصلاحيات والنطاق والأمن,RETAIN AS AUTHORITY — الاحتفاظ كمرجع سلطة,DIRECT — مباشر,P0,مرجع الصلاحيات الحالي
SRC-006,Screen_to_API_and_Permission_Traceability_TransportERP_V1.6.xlsx,Kurrasa 8-8 / W2,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,Screen→API→Permission — الشاشة إلى واجهة البرمجة إلى الصلاحية,RETAIN AS AUTHORITY — الاحتفاظ كمرجع سلطة,DIRECT — مباشر,P0,مرجع التتبع الحالي
SRC-007,Posting_Contract_TransportERP_V1.docx,Kurrasa 8-8 / W2,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,Posting — الترحيل المالي,RETAIN AS AUTHORITY — الاحتفاظ كمرجع سلطة,DIRECT — مباشر,P3,يرتبط بكل إجراء ينتج أثرًا ماليًا مرحلًا
SRC-008,Reversal_Contract_TransportERP_V1.docx,Kurrasa 8-8 / W2,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,Reversal — العكس المالي,RETAIN AS AUTHORITY — الاحتفاظ كمرجع سلطة,DIRECT — مباشر,P3,يرتبط بكل إجراء عكس أو إلغاء أثر مالي منشور
SRC-009,Approval + Numbering + Concurrency/Idempotency + Shared API Contracts — الاعتماد والترقيم والتزامن وعدم تكرار الأثر وعقود واجهة البرمجة المشتركة,Kurrasa 8-8 / W2,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,عقود مشتركة,RETAIN AS AUTHORITY — الاحتفاظ كمرجع سلطة,DIRECT — مباشر,P3,لا تكرر كقواعد محلية متنافسة
SRC-010,ScreenDefinition_Contract_V1.docx + Profiles/Variants/CoreUI matrices — عقد تعريف الشاشة وأنماطها ومتغيراتها ومصفوفات الواجهة المشتركة,Kurrasa 8-8 / W3,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,CoreUI / ScreenDefinition / RTL / DPI — الواجهة المشتركة وتعريف الشاشة واتجاه العربية وكثافة العرض,RETAIN AS AUTHORITY — الاحتفاظ كمرجع سلطة,DIRECT — مباشر,P0,مرجع الواجهة الحالي في نطاقه
SRC-011,Gap Closure Matrix / Report - current selected version — مصفوفة وتقرير إغلاق الفجوات بالنسخة الحالية,Kurrasa 8-8 / Gap Closure — كراسة 8-8 / إغلاق الفجوات,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED أو CURRENT SUPPORT — حالي معتمد أو دعم حالي,حالة البوابات والفجوات,RETAIN AS GATE AUTHORITY — الاحتفاظ كمرجع بوابة,CONDITIONAL — مشروط,P0,لا يساوي وحده قاعدة أعمال
SRC-012,مسودة_كراسة_التنفيذ_الاولى_V3.zip,V3 original — الأصل V3,PRESERVED_SOURCE — مصدر محفوظ,DRAFT V3 / SOURCE VERIFIED — مسودة V3 / المصدر متحقق,353 شاشة + 200 جدول + 222 صفحة,PRESERVE MEANING / TRACE — حفظ المعنى والتتبع,CONDITIONAL — مشروط,P1,يحفظ المعنى حيث لا يخالف سلطة أعلى
SRC-013,سجل_الشاشات_الموحد_V4_1_R2.csv,V4.1R2 Preservation — حفظ V4.1R2,PRESERVED_SOURCE — مصدر محفوظ,REMEDIATION CANDIDATE — مرشح معالجة,599 شاشة,INGEST AS CONTENT NUCLEUS — إدخال كنواة محتوى,CONDITIONAL — مشروط,P1,نواة سجل الشاشات للمرجع الجديد
SRC-014,مواصفات_الحقول_V4_1_R2.csv,V4.1R2 Preservation — حفظ V4.1R2,PRESERVED_SOURCE — مصدر محفوظ,REMEDIATION CANDIDATE — مرشح معالجة,8230 حقلًا,INGEST AS CONTENT NUCLEUS — إدخال كنواة محتوى,CONDITIONAL — مشروط,P1,توزيع التبويبات المشتق يبقى منفصل المصدر
SRC-015,مصفوفة_الإجراءات_الحالات_والصلاحيات_V4_1_R2.csv,V4.1R2 Preservation — حفظ V4.1R2,PRESERVED_SOURCE — مصدر محفوظ,REMEDIATION CANDIDATE — مرشح معالجة,6282 إجراء وحالة وصلاحية,INGEST AS CONTENT NUCLEUS — إدخال كنواة محتوى,CONDITIONAL — مشروط,P1,W2 النهائي يعلو على أي ربط مسودة
