Artifact_Family_ID,اسم_العائلة,المسار_أو_المصدر,Authority_Class_التصنيف_الحاكم,الحالة_الحالية,الاستخدام_في_المرجع_الموحد,قرار_التنظيف_الحالي,ملاحظات
AF-001,كراسة التنفيذ 8-8,/كراسة التنفيذ 8-8,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,مرجع السلطة الأعلى ضمن نطاقه,KEEP IN PLACE — يبقى في مكانه,تُستخدم أحدث النسخ التي يسميها سجل V1.25 فقط
AF-002,سجل V1.25 للملفات الحاكمة,سجل_الملفات_الحاكمة_Current_Approved_References_V1.25.docx,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,اختيار النسخ الحالية,KEEP IN PLACE — يبقى في مكانه,لا يهزم إلا بقرار مالك أحدث موثق
AF-003,الكتاب التنفيذي والتصميمي الموحد V1.3,كراسة 8-8 / المراجع العليا,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,معنى الأعمال والتنفيذ والتصميم ضمن نطاقه,KEEP IN PLACE — يبقى في مكانه,لا يُستبدل بمرشح أدنى
AF-004,W1 نموذج البيانات,كراسة 8-8 / W1 - Data Model — نموذج البيانات,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,البيانات والملكية والقيود والتتبع,KEEP IN PLACE — يبقى في مكانه,المرجع الحاكم للبيانات
AF-005,W2 العقود التقنية,كراسة 8-8 / W2 - Technical Contracts — العقود التقنية,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,واجهات البرمجة والصلاحيات والعقود المالية والمشتركة,KEEP IN PLACE — يبقى في مكانه,النسخ المؤرشفة لا تستخدم للتنفيذ
AF-006,W3 الواجهة المشتركة,كراسة 8-8 / W3 - CoreUI — الواجهة المشتركة,GOVERNING_CURRENT — حاكم حالي,CURRENT APPROVED — الحالي المعتمد,أنماط الشاشات والمتغيرات وتعريف الشاشة,KEEP IN PLACE — يبقى في مكانه,لا Profile — نمط سابع دون قرار معماري
AF-007,V3 الأصلية,مسودة_كراسة_التنفيذ_الاولى_V3.zip,PRESERVED_SOURCE — مصدر محفوظ,SOURCE VERIFIED — المصدر متحقق,حفظ معنى الأعمال والتتبع,KEEP AS PRESERVED SOURCE — يحفظ كمصدر,لا يهزم سلطة أعلى
AF-008,V4.1R2 حفظ المتطلبات,/الكراسة التنفيذية الموحدة 2026-08-15/02_الكراسة_الموحدة/00_R2_الأساس_المحفوظ_للقراءة_فقط,PRESERVED_SOURCE — مصدر محفوظ,REMEDIATION CANDIDATE — مرشح معالجة,نواة محتوى التجميع: الشاشات والحقول والإجراءات والمفاهيم والتتبع,KEEP READ-ONLY — يحفظ للقراءة فقط,ليس Current Approved — الحالي المعتمد
AF-009,ARCH-01R والمعالجات,TransportERP Architecture Research — Offline First,DERIVED_ARCHITECTURE — معمارية مشتقة,REVIEW/REMEDIATION — مراجعة ومعالجة,العمل دون اتصال والتوزيع وربط الحقول والإجراءات,KEEP WITH DERIVATION TAG — يحفظ بوسم الاشتقاق,لا يعاد وصفه كمصدر تاريخي
AF-010,POC-14 وPOC-14R,TransportERP Architecture Research — Offline First / POC,EVIDENCE_ONLY — دليل فقط,OPEN / UNDER EVIDENCE — مفتوح وتحت الأدلة,أدلة قرار منصة البيانات فقط,KEEP AS EVIDENCE — يحفظ كدليل,لا يحدد قاعدة البيانات نهائيًا قبل الحكم
AF-011,هيكل المشروع والمعالجات,TransportERP Project Structure — *,EVIDENCE_ONLY — دليل فقط,REVIEW/REMEDIATION — مراجعة ومعالجة,حوكمة تنظيم الملفات والانتقال التجريبي,KEEP AS GOVERNANCE EVIDENCE — يحفظ كدليل حوكمة,لا يغير قواعد الأعمال
AF-012,البحث العالمي,TransportERP — البحث العالمي والقدرات والأدلة البصرية ومقترحات التطوير,BENCHMARK_CANDIDATE — مرشح مقارنة,SUPPORT / INTELLIGENCE — دعم وذكاء,كشف الفجوات ومقترحات التطوير,KEEP SEPARATE — يبقى منفصلًا,لا يدخل كمتطلب حاكم بلا Adoption Decision — قرار تبني
AF-013,الشاشات المعتمدة,TransportERP — الشاشات المعتمدة,GOVERNANCE STATUS TO VERIFY — الحالة الحوكمية تحتاج تحقق,REQUIRES DEEP REVIEW — يتطلب مراجعة عميقة,مرجع بصري/تصميمي بعد التحقق,NO MOVE YET — لا نقل الآن,يجب ربط كل شاشة بمعرف ومتطلب وسلطة
AF-014,المواصفات التنفيذية للشاشات,TransportERP — المواصفات التنفيذية للشاشات,GOVERNANCE STATUS TO VERIFY — الحالة الحوكمية تحتاج تحقق,REQUIRES DEEP REVIEW — يتطلب مراجعة عميقة,مرشح للتجميع بعد المطابقة,NO MOVE YET — لا نقل الآن,تحتاج مقارنة مع السجل الحاكم ونواة R2
AF-015,صور التصميم,صور التصميم,EVIDENCE_ONLY — دليل فقط,VISUAL EVIDENCE — دليل بصري,دليل بصري لا ينشئ قاعدة أعمال,KEEP SEPARATE — يبقى منفصلًا,تطبق حقوق وخصوصية الأصول البصرية
AF-016,مسودة شاشات التصميم,مسودة شاشات التصميم,BENCHMARK_CANDIDATE — مرشح مقارنة,DRAFT — مسودة,مادة تصميمية مرشحة بعد المطابقة,NO MOVE YET — لا نقل الآن,لا تدمج قبل مطابقة عميقة
AF-017,مسودة كراسة التنفيذ الأولى,مسودة كراسة التنفيذ الاولى,PRESERVED_SOURCE / HISTORICAL — مصدر محفوظ أو تاريخي,MIXED — مختلط,مصادر V3/V4/V4.1/R1/R2 بحسب الملف,CLASSIFY ITEM-BY-ITEM — تصنيف ملفًا ملفًا,لا تعامل المجلد كله كسلطة واحدة
AF-018,الكراسة العالمية 14-10,الكراسة العالمية 14-10,BENCHMARK_CANDIDATE — مرشح مقارنة,ENRICHMENT / REVIEW — إثراء ومراجعة,إثراء عالمي وتطوير,KEEP SEPARATE — يبقى منفصلًا,لا يهزم Current Approved — الحالي المعتمد
