W1_Contract_ID,Release_ID,Domain,Entity_Arabic,Entity_Code,Physical_Status,Columns_Spec,Primary_Key,Foreign_Keys,Indexes_Unique,Tenant_Company_Branch_Scope,Concurrency,Audit,Lifecycle,Migration,Authority_ID,Source_Ref,Test_ID,Evidence_ID,Owner,Reviewer,Status,Closure_Reason
W1-P1-001,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,المستخدم,User,EXACT_REFERENCE,Id:uuid;UserName:string(100);NormalizedUserName:string(100);DisplayName:string(200);Email:string(320) nullable;Phone:string(30) nullable;PasswordHash:string(500);Status:enum ACTIVE|LOCKED|DISABLED;CompanyId:uuid nullable;BranchId:uuid nullable;LastLoginAt:datetime nullable;CreatedAt:datetime;UpdatedAt:datetime;RowVersion:bytes;DeletedAt:datetime nullable,Id,CompanyId->Company.Id nullable; BranchId->Branch.Id nullable,"UX(NormalizedUserName,CompanyId) WHERE DeletedAt IS NULL; UX(Email,CompanyId) WHERE Email IS NOT NULL; IX(BranchId,Status)",Platform identity; optional CompanyId/BranchId; super-admin only cross-company,Optimistic concurrency RowVersion; reject stale update with CONCURRENCY_CONFLICT,Create/update/lock/unlock/role-change/login-failure; actor; scope; IP/device; correlation,ACTIVE -> LOCKED/DISABLED; soft delete only after dependency check,New TransportERP schema; import only after User mapping and password/identity decision; no automatic reuse approval,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/User.cs; AlTayerERP.Infrastructure/Data/AppDbContext.cs,T-W1-001,EVID-ALTAYER-User,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W1 fields specified as P1 contract baseline; implementation is not present and reuse/migration approval remains a gated owner decision.
W1-P1-002,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,الدور,Role,EXACT_REFERENCE,Id:uuid;Code:string(80);NameAr:string(200);NameEn:string(200) nullable;Description:string(500) nullable;IsSystem:bool;CompanyId:uuid nullable;Status:enum ACTIVE|INACTIVE;CreatedAt:datetime;UpdatedAt:datetime;RowVersion:bytes;DeletedAt:datetime nullable,Id,CompanyId->Company.Id nullable; Permission assignments are child records in the permission aggregate,"UX(Code,CompanyId) WHERE DeletedAt IS NULL; IX(CompanyId,Status)",Platform role or company-scoped role; branch restriction through assignment/scope policy,RowVersion; permission changes require version check,Create/update/activate/deactivate/permission-assignment; before-after snapshot,DRAFT -> ACTIVE -> INACTIVE; system roles cannot be deleted,Candidate import from AlTayerERP Role after code mapping and owner acceptance,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/Role.cs; AlTayerERP.Infrastructure/Data/AppDbContext.cs,T-W1-002,EVID-ALTAYER-Role,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W1 fields specified as P1 contract baseline; implementation is not present and reuse/migration approval remains a gated owner decision.
W1-P1-003,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,الصلاحية,Permission,AMBIGUOUS_REFERENCE,Id:uuid;Code:string(120);NameAr:string(200);Resource:string(120);Action:string(80);ScopeType:enum PLATFORM|COMPANY|BRANCH;IsSystem:bool;CreatedAt:datetime;UpdatedAt:datetime;RowVersion:bytes;DeletedAt:datetime nullable;RoleAssignments:child;UserOverrides:child,Id,RoleAssignments.RoleId->Role.Id; RoleAssignments.PermissionId->Permission.Id; UserOverrides.UserId->User.Id,"UX(Code); IX(Resource,Action); UX(RoleId,PermissionId,ScopeType) on role assignment",Permission definition platform-wide; assignment carries company/branch scope,RowVersion on definition and assignment; deny stale assignment,Definition/assignment/override/deny changes; actor and reason required,ACTIVE -> INACTIVE; no hard delete when referenced,Map AlTayerERP SystemPermission/RolePermission/UserPermission; preserve source IDs in mapping table,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/SystemPermission.cs; RolePermission.cs; UserPermission.cs; AppDbContext.cs,T-W1-003,EVID-ALTAYER-Permission,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W1 fields specified as P1 contract baseline; implementation is not present and reuse/migration approval remains a gated owner decision.
W1-P1-004,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Organization,المؤسسة,Company,EXACT_REFERENCE,Id:uuid;Code:string(40);LegalNameAr:string(250);LegalNameEn:string(250) nullable;TaxIdentifier:string(80) nullable;BaseCurrencyId:uuid;DefaultCalendarId:uuid;Status:enum ACTIVE|SUSPENDED|CLOSED;CreatedAt:datetime;UpdatedAt:datetime;RowVersion:bytes;DeletedAt:datetime nullable,Id,BaseCurrencyId->Currency.Id; DefaultCalendarId->FiscalPeriod/Calendar reference,UX(Code) WHERE DeletedAt IS NULL; UX(TaxIdentifier) WHERE TaxIdentifier IS NOT NULL; IX(Status),Tenant root; CompanyId is required for all scoped transactions,RowVersion; status changes require approval and no open blocking transactions,Create/update/status/base-currency/closure; actor and approval,DRAFT -> ACTIVE -> SUSPENDED/CLOSED; closed company is read-only,Candidate import from AlTayerERP Company with code and legal-entity review,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/Company.cs; AlTayerERP.Infrastructure/Data/AppDbContext.cs,T-W1-004,EVID-ALTAYER-Company,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W1 fields specified as P1 contract baseline; implementation is not present and reuse/migration approval remains a gated owner decision.
W1-P1-005,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Organization,الفرع,Branch,EXACT_REFERENCE,Id:uuid;CompanyId:uuid;Code:string(40);NameAr:string(200);NameEn:string(200) nullable;BranchType:string(60) nullable;Address:string(500) nullable;Timezone:string(80);Status:enum ACTIVE|INACTIVE;CreatedAt:datetime;UpdatedAt:datetime;RowVersion:bytes;DeletedAt:datetime nullable,Id,CompanyId->Company.Id,"UX(CompanyId,Code) WHERE DeletedAt IS NULL; IX(CompanyId,Status)",CompanyId required; branch users/transactions restricted by BranchId unless delegated,RowVersion; prevent deactivation with open cash boxes or active work,Create/update/status/scope changes; actor and approval,DRAFT -> ACTIVE -> INACTIVE; no delete after transactions,Candidate import from AlTayerERP TenantBranch after company mapping,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/TenantBranch.cs; AlTayerERP.Infrastructure/Data/AppDbContext.cs,T-W1-005,EVID-ALTAYER-Branch,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W1 fields specified as P1 contract baseline; implementation is not present and reuse/migration approval remains a gated owner decision.
W1-P1-006,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Settings,الإعدادات العامة,GlobalSetting,PARTIAL_REFERENCE,Id:uuid;Key:string(160);ValueJson:text;ValueType:string(40);Version:int;IsSecret:bool;Status:enum ACTIVE|INACTIVE;CreatedAt:datetime;UpdatedAt:datetime;RowVersion:bytes,Id,none; secret values stored through protected secret provider,UX(Key); IX(Status),Platform-wide; company/branch overrides are separate contracts,Version plus RowVersion; compare-and-swap update,"Read secret metadata only; change stores before/after hash, actor, reason","ACTIVE -> INACTIVE; versioned, not deleted",Candidate from AlTayerERP SystemSetting only where key ownership is confirmed,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/SystemSetting.cs; AppDbContext.cs,T-W1-006,EVID-ALTAYER-GlobalSetting,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W1 fields specified as P1 contract baseline; implementation is not present and reuse/migration approval remains a gated owner decision.
W1-P1-007,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Settings,إعدادات المؤسسة,CompanySetting,SCOPE_UNCONFIRMED,Id:uuid;CompanyId:uuid;Key:string(160);ValueJson:text;ValueType:string(40);Version:int;Status:enum ACTIVE|INACTIVE;CreatedAt:datetime;UpdatedAt:datetime;RowVersion:bytes,Id,CompanyId->Company.Id,"UX(CompanyId,Key); IX(CompanyId,Status)",Company-scoped override; fallback to GlobalSetting according to precedence policy,Version plus RowVersion; reject update when parent company is closed,Create/update/deactivate; effective-value trace records source layer,ACTIVE -> INACTIVE; versioned,New scoped projection from SystemSetting only after owner confirms key scope,AUTH-REUSE-PENDING,"SystemSetting exists, but company-level scope is not confirmed by this source",T-W1-007,EVID-ALTAYER-CompanySetting,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W1 fields specified as P1 contract baseline; implementation is not present and reuse/migration approval remains a gated owner decision.
W1-P1-008,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Settings,إعدادات الفرع,BranchSetting,SCOPE_UNCONFIRMED,Id:uuid;CompanyId:uuid;BranchId:uuid;Key:string(160);ValueJson:text;ValueType:string(40);Version:int;Status:enum ACTIVE|INACTIVE;CreatedAt:datetime;UpdatedAt:datetime;RowVersion:bytes,Id,CompanyId->Company.Id; BranchId->Branch.Id; enforce Branch.CompanyId=CompanyId,"UX(BranchId,Key); IX(CompanyId,BranchId,Status)",Branch-scoped override; fallback Branch->Company->Global,Version plus RowVersion; reject if branch inactive,Create/update/deactivate; record effective precedence and actor,ACTIVE -> INACTIVE; versioned,New scoped projection; no automatic conversion from SystemSetting,AUTH-REUSE-PENDING,"SystemSetting exists, but branch-level scope is not confirmed by this source",T-W1-008,EVID-ALTAYER-BranchSetting,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W1 fields specified as P1 contract baseline; implementation is not present and reuse/migration approval remains a gated owner decision.
W1-P1-009,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,دليل الحسابات,ChartOfAccounts,EXACT_REFERENCE,Id:uuid;CompanyId:uuid;Code:string(60);NameAr:string(250);NameEn:string(250) nullable;ParentId:uuid nullable;AccountType:enum ASSET|LIABILITY|EQUITY|REVENUE|EXPENSE;PostingAllowed:bool;CurrencyId:uuid nullable;Status:enum DRAFT|ACTIVE|INACTIVE;CreatedAt:datetime;UpdatedAt:datetime;RowVersion:bytes;DeletedAt:datetime nullable,Id,CompanyId->Company.Id; ParentId->ChartOfAccounts.Id nullable; CurrencyId->Currency.Id nullable,"UX(CompanyId,Code) WHERE DeletedAt IS NULL; IX(CompanyId,ParentId); IX(CompanyId,AccountType,Status)",Company-specific chart; optional group mapping is separate and cannot change local posting rules,RowVersion; parent/type/posting changes blocked when posted entries exist,Create/update/reparent/activate/deactivate; before-after and approval,DRAFT -> ACTIVE -> INACTIVE; no hard delete after posting,Candidate mapping from AlTayerERP ChartOfAccount; trial balance reconciliation required,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/ChartOfAccount.cs; AppDbContext.cs,T-W1-009,EVID-ALTAYER-ChartOfAccounts,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W1 fields specified as P1 contract baseline; implementation is not present and reuse/migration approval remains a gated owner decision.
W1-P1-010,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,الفترة المالية,FiscalPeriod,EXACT_REFERENCE,Id:uuid;CompanyId:uuid;Code:string(40);StartDate:date;EndDate:date;Status:enum OPEN|SOFT_CLOSED|CLOSED;ClosedAt:datetime nullable;ClosedBy:uuid nullable;CreatedAt:datetime;UpdatedAt:datetime;RowVersion:bytes,Id,CompanyId->Company.Id; ClosedBy->User.Id nullable,"UX(CompanyId,Code); UX(CompanyId,StartDate,EndDate); IX(CompanyId,Status)",Company-specific; transactions require exactly one open period by posting date,RowVersion; close/reopen is serialized and permission-protected,Open/soft close/close/reopen; reason and approval required,OPEN -> SOFT_CLOSED -> CLOSED; CLOSED -> OPEN only through controlled reopen,Candidate import from AlTayerERP FiscalPeriod after date/status reconciliation,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/FiscalPeriod.cs; AppDbContext.cs,T-W1-010,EVID-ALTAYER-FiscalPeriod,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W1 fields specified as P1 contract baseline; implementation is not present and reuse/migration approval remains a gated owner decision.
