Capability_ID,Domain_AR,Domain_EN,Core_Entity_Groups,State_Flow,Configuration,Inputs,Outputs,Official_Evidence,Owner_Requirement,Evidence_Status,Implementation_Status,Open_Decisions
CAP-PLATFORM,المنصة المؤسسية,Enterprise Platform,"Companies;LegalEntities;Branches;BusinessUnits;Users;Roles;Permissions;AuditLogs;ApprovalRequests","Define->Scope->Transact->Audit","sharing;isolation;numbering;permissions;notifications;approvals","identity;company;branch;role","effective_scope;audit_record;permission_decision","Oracle Enterprise Structures; Odoo Multi-company",متعدد الشركات والفروع والإعدادات العامة والخاصة,COMPOSITE,DOCUMENTED_ONLY,company/branch isolation policy; delegated administration
CAP-ACC,المحاسبة والمالية,Accounting and Finance,"ChartOfAccounts;Ledgers;FiscalYears;FiscalPeriods;Currencies;ExchangeRates;CostCenters;FinancialDimensions;JournalEntries;Receipts;Payments;OpenItems","Draft->Checked->Approved->Posted->Settled/Reversed","chart hierarchy;ledgers;currencies;periods;cross-validation;dimensions;closing","account;dimension;cost center;amount;currency;operational reference","journal;receipt;balance;trial balance;consolidated report","SAP Chart of Accounts; Oracle Financials; Microsoft Financial Dimensions",دليل حسابات شجري ومراكز تكلفة وأبعاد مالية,COMPOSITE,PARTIAL,local chart structure; period close policy; intercompany scope
CAP-TRANSPORT,النقل والطلبات والشحنات,Transportation Management,"TransportOrders;Shipments;Loads;Trips;Carriers;Routes;Manifests","Order->Shipment->Plan->Load->Trip->Deliver/Settle","capacity;weight;volume;routes;tariffs;priorities;carriers","order;origin;destination;item;quantity;weight;volume;time","plan;load;trip;ETA;manifest;cost","Microsoft Transportation Management; Oracle OTM",أنماط نقل خفيف ومتوسط وثقيل,COMPOSITE,DOCUMENTED_ONLY,vehicle class rules; permit rules; local tariffs
CAP-WAYBILL,البوالص متعددة الأصناف,Multi-item Waybills,"Waybills;WaybillItems;ShipmentSplits;FreightManifestItems;WaybillCustomsData","Draft->Prohibited/Customs Check->Priced->Paid/Credit->Allocated->Dispatched->Delivered->Settled","BY_LINE/BY_WAYBILL; measurement; pricing; collection; settlement distribution","sender;receiver;items;measurements;payment;collection;customs;attachments","receipt;manifest;split;remaining balance;settlement sheet;unpaid report","Owner requirement; Microsoft/Oracle transport patterns",بوليصة متعددة الأصناف ورحلات متعددة والدفع والتحصيل والخصم,LOCAL_OWNER_CONFIRMED,OPEN,prohibited list; pricing precedence; due date; distribution basis
CAP-DELIVERY,التوصيل والإرسال,Delivery and Dispatch,"DeliveryOrders;DeliveryTasks;DispatchPlans;DriverAssignments;ProofsOfDelivery;CustomerNotifications","Order->Optimize->Assign->Dispatch->Arrive/Fail->POD->Close","time windows;zones;capacity;priority;attempts;SMS;proof types","address;location;window;driver;payload;photo;signature;barcode","ETA;task status;POD;notification;KPI","Onfleet Dispatch Software",إثبات التسليم والتواصل والتحصيل عند التسليم,EXACT_PATTERN,DOCUMENTED_ONLY,local notification provider; failed-delivery policy
CAP-RIDE,المشاوير والنقل الخدمي,Rides and Service Trips,"RideOrders;Trips;Vehicles;Drivers;Stops;FareRules;TripSettlements","Request->Price->Assign->Start->Stops->Complete->Settle","vehicle type;capacity;distance;zone;fare;cancel rules","passenger/customer;pickup;dropoff;time;vehicle;driver","ride order;trip;cost;settlement sheet","Microsoft/Samsara patterns",خدمة مشوار محلية,COMPOSITE,DOCUMENTED_ONLY,pricing; cancellation; privacy; rating
CAP-TICKETING,السفريات والتذاكر,Travel and Ticketing,"TravelRoutes;Trips;SeatInventories;Passengers;Tickets;TicketChanges;Refunds;Baggage;BoardingPoints;PassengerManifests","Hold->Issued->Boarded->Changed/Refunded/Voided","seats;boarding points;ticket states;change/refund; baggage; identity","passenger identity;trip;seat;price;payment;baggage","ticket;receipt;manifest;boarding;voucher;unpaid report","Amadeus Ticketing Platform; Amadeus Altéa",هوية المسافر ونقاط الصعود والأمتعة والتحويل بين الحافلات,COMPOSITE,DOCUMENTED_ONLY,security identity fields; due date; transfer rules
CAP-FLEET,الأسطول وGPS والسلامة,Fleet GPS and Safety,"Vehicles;VehicleDevices;GpsEvents;Geofences;DriverChecks;FuelEvents;SafetyIncidents;Alerts","Register->Pair Device->Track->Alert/Incident->Check->Trip/Fuel","GPS device;speed;geofences;alerts;check forms;fuel evidence","vehicle;driver;odometer;location;time;event;photo;check","location;alert;trip log;consumption;violation;approved check","Samsara Telematics; Geotab Courier Fleet",فحص ما قبل الرحلة وإثبات الوقود بالكاميرا,COMPOSITE,DOCUMENTED_ONLY,GPS provider; privacy; retention; fuel approval
CAP-MAINT,الصيانة وقطع الغيار,Maintenance and Parts,"MaintenancePlans;WorkOrders;Defects;Parts;Stock;Suppliers;Warranties;MaintenanceCosts","Due/Defect->Work Order->Diagnose->Parts/Procure->Execute->QC->Close","intervals;odometer;defects;approvals;stock;warranty;suppliers","asset;defect;odometer;part;time;supplier;cost;photo","work order;asset history;cost;alert;warranty;KPI","Samsara Connected Maintenance",الصيانة الوقائية وأوامر العمل وقطع الغيار,COMPOSITE,DOCUMENTED_ONLY,approval matrix; parts valuation; warranty policy
CAP-HR,الموارد البشرية والعمولات,Human Resources and Commissions,"Employees;Positions;Contracts;Attendance;Leaves;PayrollRuns;Commissions;EmployeeApprovals","Employee->Contract/Position->Attendance/Entitlement->Approve->Post/Pay","org structure;attendance;leave;allowances;deductions;commissions;roles","employee;contract;attendance;absence;entitlement;deduction;commission","payroll;journal;attendance report;commission;approval","Microsoft Dynamics 365 Human Resources",الموارد البشرية والعمولات التشغيلية,EXACT_PATTERN,DOCUMENTED_ONLY,local labor rules; payroll calendar; commission basis
