W1_Contract_ID,Release_ID,Domain,Entity_Arabic,Entity_Code,Physical_Status,Columns_Spec,Primary_Key,Foreign_Keys,Indexes_Unique,Tenant_Company_Branch_Scope,Concurrency,Audit,Lifecycle,Migration,Authority_ID,Source_Ref,Test_ID,Evidence_ID,Owner,Reviewer,Status,Closure_Reason
W1-P1-001,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,المستخدم,User,EXACT_REFERENCE,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,NOT_PRESENT_IN_TRANSPORTERP,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/User.cs; AlTayerERP.Infrastructure/Data/AppDbContext.cs,NOT_CREATED,EVID-ALTAYER-User,TransportERP Product Owner,Unassigned,OPEN,EXACT_REFERENCE: reference evidence only; TransportERP W1 contract and reuse approval are still required. Source entity/table candidate: User / users.
W1-P1-002,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,الدور,Role,EXACT_REFERENCE,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,NOT_PRESENT_IN_TRANSPORTERP,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/Role.cs; AlTayerERP.Infrastructure/Data/AppDbContext.cs,NOT_CREATED,EVID-ALTAYER-Role,TransportERP Product Owner,Unassigned,OPEN,EXACT_REFERENCE: reference evidence only; TransportERP W1 contract and reuse approval are still required. Source entity/table candidate: Role / roles.
W1-P1-003,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,الصلاحية,Permission,AMBIGUOUS_REFERENCE,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,NOT_PRESENT_IN_TRANSPORTERP,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/SystemPermission.cs; RolePermission.cs; UserPermission.cs; AppDbContext.cs,NOT_CREATED,EVID-ALTAYER-Permission,TransportERP Product Owner,Unassigned,OPEN,AMBIGUOUS_REFERENCE: reference evidence only; TransportERP W1 contract and reuse approval are still required. Source entity/table candidate: SystemPermission; RolePermission; UserPermission / system_permissions; role_permissions; user_permissions.
W1-P1-004,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Organization,المؤسسة,Company,EXACT_REFERENCE,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,NOT_PRESENT_IN_TRANSPORTERP,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/Company.cs; AlTayerERP.Infrastructure/Data/AppDbContext.cs,NOT_CREATED,EVID-ALTAYER-Company,TransportERP Product Owner,Unassigned,OPEN,EXACT_REFERENCE: reference evidence only; TransportERP W1 contract and reuse approval are still required. Source entity/table candidate: Company / companies.
W1-P1-005,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Organization,الفرع,Branch,EXACT_REFERENCE,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,NOT_PRESENT_IN_TRANSPORTERP,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/TenantBranch.cs; AlTayerERP.Infrastructure/Data/AppDbContext.cs,NOT_CREATED,EVID-ALTAYER-Branch,TransportERP Product Owner,Unassigned,OPEN,EXACT_REFERENCE: reference evidence only; TransportERP W1 contract and reuse approval are still required. Source entity/table candidate: TenantBranch / tenant_branches.
W1-P1-006,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Settings,الإعدادات العامة,GlobalSetting,PARTIAL_REFERENCE,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,NOT_PRESENT_IN_TRANSPORTERP,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/SystemSetting.cs; AppDbContext.cs,NOT_CREATED,EVID-ALTAYER-GlobalSetting,TransportERP Product Owner,Unassigned,OPEN,PARTIAL_REFERENCE: reference evidence only; TransportERP W1 contract and reuse approval are still required. Source entity/table candidate: SystemSetting / system_settings.
W1-P1-007,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Settings,إعدادات المؤسسة,CompanySetting,SCOPE_UNCONFIRMED,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,NOT_PRESENT_IN_TRANSPORTERP,AUTH-REUSE-PENDING,"SystemSetting exists, but company-level scope is not confirmed by this source",NOT_CREATED,EVID-ALTAYER-CompanySetting,TransportERP Product Owner,Unassigned,OPEN,SCOPE_UNCONFIRMED: reference evidence only; TransportERP W1 contract and reuse approval are still required. Source entity/table candidate: SystemSetting / system_settings.
W1-P1-008,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Settings,إعدادات الفرع,BranchSetting,SCOPE_UNCONFIRMED,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,NOT_PRESENT_IN_TRANSPORTERP,AUTH-REUSE-PENDING,"SystemSetting exists, but branch-level scope is not confirmed by this source",NOT_CREATED,EVID-ALTAYER-BranchSetting,TransportERP Product Owner,Unassigned,OPEN,SCOPE_UNCONFIRMED: reference evidence only; TransportERP W1 contract and reuse approval are still required. Source entity/table candidate: SystemSetting / system_settings.
W1-P1-009,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,دليل الحسابات,ChartOfAccounts,EXACT_REFERENCE,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,NOT_PRESENT_IN_TRANSPORTERP,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/ChartOfAccount.cs; AppDbContext.cs,NOT_CREATED,EVID-ALTAYER-ChartOfAccounts,TransportERP Product Owner,Unassigned,OPEN,EXACT_REFERENCE: reference evidence only; TransportERP W1 contract and reuse approval are still required. Source entity/table candidate: ChartOfAccount / chart_of_accounts.
W1-P1-010,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,الفترة المالية,FiscalPeriod,EXACT_REFERENCE,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,PENDING_TRANSPORTERP_CONTRACT,NOT_PRESENT_IN_TRANSPORTERP,AUTH-REUSE-PENDING,AlTayerERP.Core/Entities/FiscalPeriod.cs; AppDbContext.cs,NOT_CREATED,EVID-ALTAYER-FiscalPeriod,TransportERP Product Owner,Unassigned,OPEN,EXACT_REFERENCE: reference evidence only; TransportERP W1 contract and reuse approval are still required. Source entity/table candidate: FiscalPeriod / fiscal_periods.
