Trace_ID,Release_ID,Layer,Contract_IDs,Contract_Test_IDs,Acceptance_IDs,Rule_IDs,Status,Note
TR-P2C01-001,P2-C01-WAYBILL-SHIPPING-2026-08,W1,"W1-P2C01-001;W1-P2C01-002;W1-P2C01-003;W1-P2C01-004;W1-P2C01-005;W1-P2C01-006;W1-P2C01-007;W1-P2C01-024;W1-P2C01-028;W1-P2C01-029","T-P2C01-W1-001;T-P2C01-W1-002;T-P2C01-W1-003;T-P2C01-W1-004;T-P2C01-W1-005;T-P2C01-W1-006;T-P2C01-W1-007;T-P2C01-W1-024;T-P2C01-W1-028;T-P2C01-W1-029","UAT-P2C01-001;UAT-P2C01-002;UAT-P2C01-003;UAT-P2C01-004;UAT-P2C01-005;UAT-P2C01-006;UAT-P2C01-007;UAT-P2C01-036","BR-SHP-001;BR-SHP-002;BR-SHP-003;BR-SHP-004;BR-SHP-005;BR-SHP-006;BR-SHP-037;BR-SHP-038;BR-SHP-041;BR-SHP-042",READY_FOR_REVIEW,Core waybill party item package attachment payment-plan numbering and pricing contracts
TR-P2C01-002,P2-C01-WAYBILL-SHIPPING-2026-08,W1,"W1-P2C01-008;W1-P2C01-022;W1-P2C01-023;W1-P2C01-027","T-P2C01-W1-008;T-P2C01-W1-022;T-P2C01-W1-023;T-P2C01-W1-027","UAT-P2C01-017;UAT-P2C01-018;UAT-P2C01-019;UAT-P2C01-020;UAT-P2C01-021;UAT-P2C01-022;UAT-P2C01-023;UAT-P2C01-027;UAT-P2C01-028;UAT-P2C01-029;UAT-P2C01-042","BR-SHP-008;BR-SHP-009;BR-SHP-021;BR-SHP-022;BR-SHP-023;BR-SHP-024;BR-SHP-025;BR-SHP-026;BR-SHP-030;BR-SHP-048",READY_FOR_REVIEW,Collections commissions financial links and trip settlement
TR-P2C01-003,P2-C01-WAYBILL-SHIPPING-2026-08,W1,"W1-P2C01-009;W1-P2C01-010;W1-P2C01-011;W1-P2C01-012;W1-P2C01-013;W1-P2C01-014;W1-P2C01-015;W1-P2C01-016;W1-P2C01-017;W1-P2C01-018","T-P2C01-W1-009;T-P2C01-W1-010;T-P2C01-W1-011;T-P2C01-W1-012;T-P2C01-W1-013;T-P2C01-W1-014;T-P2C01-W1-015;T-P2C01-W1-016;T-P2C01-W1-017;T-P2C01-W1-018","UAT-P2C01-010;UAT-P2C01-011;UAT-P2C01-012;UAT-P2C01-013;UAT-P2C01-014;UAT-P2C01-015;UAT-P2C01-016;UAT-P2C01-037;UAT-P2C01-038;UAT-P2C01-039","BR-SHP-013;BR-SHP-014;BR-SHP-015;BR-SHP-016;BR-SHP-017;BR-SHP-018;BR-SHP-019;BR-SHP-020;BR-SHP-043;BR-SHP-044;BR-SHP-045",READY_FOR_REVIEW,Release trip stops allocation manifest movement arrival and warehouse holding
TR-P2C01-004,P2-C01-WAYBILL-SHIPPING-2026-08,W1,"W1-P2C01-019;W1-P2C01-020;W1-P2C01-021;W1-P2C01-025;W1-P2C01-026;W1-P2C01-030","T-P2C01-W1-019;T-P2C01-W1-020;T-P2C01-W1-021;T-P2C01-W1-025;T-P2C01-W1-026;T-P2C01-W1-030","UAT-P2C01-008;UAT-P2C01-009;UAT-P2C01-024;UAT-P2C01-025;UAT-P2C01-032;UAT-P2C01-033;UAT-P2C01-040;UAT-P2C01-041","BR-SHP-010;BR-SHP-011;BR-SHP-012;BR-SHP-028;BR-SHP-029;BR-SHP-033;BR-SHP-034;BR-SHP-035;BR-SHP-036;BR-SHP-046;BR-SHP-047",READY_FOR_REVIEW,Delivery customs exceptions holds and customer notifications
TR-P2C01-005,P2-C01-WAYBILL-SHIPPING-2026-08,W2,"W2-P2C01-001;W2-P2C01-002;W2-P2C01-003;W2-P2C01-004;W2-P2C01-005;W2-P2C01-006;W2-P2C01-007;W2-P2C01-008;W2-P2C01-009;W2-P2C01-010;W2-P2C01-037;W2-P2C01-038","T-P2C01-W2-001;T-P2C01-W2-002;T-P2C01-W2-003;T-P2C01-W2-004;T-P2C01-W2-005;T-P2C01-W2-006;T-P2C01-W2-007;T-P2C01-W2-008;T-P2C01-W2-009;T-P2C01-W2-010;T-P2C01-W2-037;T-P2C01-W2-038","UAT-P2C01-001;UAT-P2C01-002;UAT-P2C01-003;UAT-P2C01-004;UAT-P2C01-005;UAT-P2C01-006;UAT-P2C01-007;UAT-P2C01-036","BR-SHP-001;BR-SHP-002;BR-SHP-003;BR-SHP-004;BR-SHP-005;BR-SHP-033;BR-SHP-037;BR-SHP-038;BR-SHP-041;BR-SHP-042",READY_FOR_REVIEW,Waybill lifecycle party attachment and pricing actions including return and cancel
TR-P2C01-006,P2-C01-WAYBILL-SHIPPING-2026-08,W2,"W2-P2C01-011;W2-P2C01-012;W2-P2C01-013","T-P2C01-W2-011;T-P2C01-W2-012;T-P2C01-W2-013","UAT-P2C01-017;UAT-P2C01-018;UAT-P2C01-019;UAT-P2C01-020;UAT-P2C01-021;UAT-P2C01-034","BR-SHP-008;BR-SHP-009;BR-SHP-027;BR-SHP-030;BR-SHP-039",READY_FOR_REVIEW,Payment plan collection and reversal actions
TR-P2C01-007,P2-C01-WAYBILL-SHIPPING-2026-08,W2,"W2-P2C01-014;W2-P2C01-015;W2-P2C01-016;W2-P2C01-017;W2-P2C01-018;W2-P2C01-019;W2-P2C01-020;W2-P2C01-021;W2-P2C01-022;W2-P2C01-023;W2-P2C01-024;W2-P2C01-039;W2-P2C01-040;W2-P2C01-041","T-P2C01-W2-014;T-P2C01-W2-015;T-P2C01-W2-016;T-P2C01-W2-017;T-P2C01-W2-018;T-P2C01-W2-019;T-P2C01-W2-020;T-P2C01-W2-021;T-P2C01-W2-022;T-P2C01-W2-023;T-P2C01-W2-024;T-P2C01-W2-039;T-P2C01-W2-040;T-P2C01-W2-041","UAT-P2C01-010;UAT-P2C01-011;UAT-P2C01-012;UAT-P2C01-013;UAT-P2C01-014;UAT-P2C01-037;UAT-P2C01-038;UAT-P2C01-039","BR-SHP-013;BR-SHP-014;BR-SHP-015;BR-SHP-016;BR-SHP-017;BR-SHP-018;BR-SHP-020;BR-SHP-023;BR-SHP-043;BR-SHP-044;BR-SHP-045",READY_FOR_REVIEW,Release trip manifest load arrival unload transit reallocation finalization and closure actions
TR-P2C01-008,P2-C01-WAYBILL-SHIPPING-2026-08,W2,"W2-P2C01-025;W2-P2C01-026;W2-P2C01-027","T-P2C01-W2-025;T-P2C01-W2-026;T-P2C01-W2-027","UAT-P2C01-033","BR-SHP-034;BR-SHP-035",READY_FOR_REVIEW,Hold release-hold and redirect controls
TR-P2C01-009,P2-C01-WAYBILL-SHIPPING-2026-08,W2,"W2-P2C01-028;W2-P2C01-029;W2-P2C01-030;W2-P2C01-043","T-P2C01-W2-028;T-P2C01-W2-029;T-P2C01-W2-030;T-P2C01-W2-043","UAT-P2C01-024;UAT-P2C01-025;UAT-P2C01-032;UAT-P2C01-041","BR-SHP-028;BR-SHP-029;BR-SHP-033;BR-SHP-036;BR-SHP-047",READY_FOR_REVIEW,Delivery POD exception create and resolve actions
TR-P2C01-010,P2-C01-WAYBILL-SHIPPING-2026-08,W2,"W2-P2C01-031;W2-P2C01-032;W2-P2C01-033;W2-P2C01-034;W2-P2C01-044","T-P2C01-W2-031;T-P2C01-W2-032;T-P2C01-W2-033;T-P2C01-W2-034;T-P2C01-W2-044","UAT-P2C01-022;UAT-P2C01-023;UAT-P2C01-026;UAT-P2C01-027;UAT-P2C01-028;UAT-P2C01-029;UAT-P2C01-042","BR-SHP-021;BR-SHP-022;BR-SHP-023;BR-SHP-024;BR-SHP-025;BR-SHP-026;BR-SHP-048",READY_FOR_REVIEW,Commissions trip settlement and waybill financial close-reopen
