Rule_ID,Release_ID,Requirement,Category,Related_W1,Related_W2,Related_W3,Acceptance_IDs,Source,Status
BR-SHP-001,P2-C01-WAYBILL-SHIPPING-2026-08,Draft has no official number,Numbering,W1-P2C01-002;W1-P2C01-024,W2-P2C01-001;W2-P2C01-007,W3-P2C01-001;W3-P2C01-010,UAT-P2C01-001;UAT-P2C01-002,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-002,P2-C01-WAYBILL-SHIPPING-2026-08,Official numbering is atomic and unique on approval,Numbering,W1-P2C01-002;W1-P2C01-024,W2-P2C01-007,W3-P2C01-010,UAT-P2C01-002;UAT-P2C01-003,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-003,P2-C01-WAYBILL-SHIPPING-2026-08,Repeated approval with same idempotency key has one result,Idempotency,W1-P2C01-024,W2-P2C01-007,W3-P2C01-010,UAT-P2C01-003,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-004,P2-C01-WAYBILL-SHIPPING-2026-08,Sender receiver and at least one item are required before approval,Validation,W1-P2C01-002;W1-P2C01-003;W1-P2C01-004,W2-P2C01-005;W2-P2C01-006;W2-P2C01-007,W3-P2C01-002;W3-P2C01-003;W3-P2C01-010,UAT-P2C01-007,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-005,P2-C01-WAYBILL-SHIPPING-2026-08,Operational parties do not require accounting accounts,Party,W1-P2C01-001;W1-P2C01-003,W2-P2C01-003;W2-P2C01-004,W3-P2C01-002,UAT-P2C01-004;UAT-P2C01-005;UAT-P2C01-006,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-006,P2-C01-WAYBILL-SHIPPING-2026-08,Item financial values inherit waybill currency in current scope,Currency,W1-P2C01-002;W1-P2C01-004,W2-P2C01-002;W2-P2C01-005,W3-P2C01-004;W3-P2C01-005,UAT-P2C01-007,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-007,P2-C01-WAYBILL-SHIPPING-2026-08,Negative quantity or amount is forbidden except explicit reversal,Validation,W1-P2C01-004;W1-P2C01-008;W1-P2C01-009;W1-P2C01-012;W1-P2C01-015,W2-P2C01-005;W2-P2C01-012;W2-P2C01-014;W2-P2C01-016;W2-P2C01-019,W3-P2C01-003;W3-P2C01-007;W3-P2C01-011;W3-P2C01-012;W3-P2C01-022,UAT-P2C01-010;UAT-P2C01-012;UAT-P2C01-018;UAT-P2C01-020,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-008,P2-C01-WAYBILL-SHIPPING-2026-08,Financial status is derived from accepted net collections,Collections,W1-P2C01-002;W1-P2C01-008;W1-P2C01-023,W2-P2C01-012;W2-P2C01-013,W3-P2C01-007;W3-P2C01-008;W3-P2C01-041,UAT-P2C01-017;UAT-P2C01-018;UAT-P2C01-019;UAT-P2C01-020;UAT-P2C01-034,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-009,P2-C01-WAYBILL-SHIPPING-2026-08,Every accepted collection records payer method amount time collector and location,Collections,W1-P2C01-008,W2-P2C01-012,W3-P2C01-007,UAT-P2C01-018;UAT-P2C01-021,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-010,P2-C01-WAYBILL-SHIPPING-2026-08,Prohibited item blocks restricted progression according to policy,Risk,W1-P2C01-004;W1-P2C01-021,W2-P2C01-005,W3-P2C01-003,UAT-P2C01-008,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-011,P2-C01-WAYBILL-SHIPPING-2026-08,Permit-required item cannot pass restricted stage without valid permit,Risk,W1-P2C01-004;W1-P2C01-021,W2-P2C01-005,W3-P2C01-003,UAT-P2C01-008,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-012,P2-C01-WAYBILL-SHIPPING-2026-08,Customs-required item creates trackable customs requirement,Customs,W1-P2C01-004;W1-P2C01-021,W2-P2C01-005,W3-P2C01-003,UAT-P2C01-009,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-013,P2-C01-WAYBILL-SHIPPING-2026-08,Release net quantity cannot exceed original remaining quantity,Quantity,W1-P2C01-004;W1-P2C01-009,W2-P2C01-014,W3-P2C01-011,UAT-P2C01-010,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-014,P2-C01-WAYBILL-SHIPPING-2026-08,Allocation cannot exceed released remaining quantity,Quantity,W1-P2C01-009;W1-P2C01-012,W2-P2C01-016,W3-P2C01-012,UAT-P2C01-011,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
BR-SHP-015,P2-C01-WAYBILL-SHIPPING-2026-08,Loaded quantity cannot exceed allocation remaining,Quantity,W1-P2C01-012;W1-P2C01-014;W1-P2C01-015,W2-P2C01-019,W3-P2C01-022,UAT-P2C01-012,KARRASA-WAYBILL-V1.1,READY_FOR_REVIEW
