W1_Contract_ID,Release_ID,Domain,Entity_Arabic,Entity_Code,Physical_Status,Columns_Spec,Primary_Key,Foreign_Keys,Indexes_Unique,Tenant_Company_Branch_Scope,Concurrency,Audit,Lifecycle,Migration,Authority_ID,Source_Ref,Test_ID,Evidence_ID,Owner,Reviewer,Status,Closure_Reason
W1-P2C01-001,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,الزبون التشغيلي,OperationalParty,CONTRACT_ONLY,Id:uuid;PartyNo:string;Name:string;Mobile:string;IdentityType:string?;IdentityNo:string?;CountryId:uuid?;GovernorateId:uuid?;CityId:uuid?;AreaId:uuid?;Address:text?;Status:enum;RowVersion:bytes,Id,CountryId->Geo;GovernorateId->Geo;CityId->Geo;AreaId->Geo,UX(CompanyId PartyNo);IX(CompanyId Mobile);IX(IdentityNo),Company required;Branch optional for ownership,RowVersion optimistic concurrency,create/update/disable and sensitive identity access,ACTIVE->INACTIVE,New P2 table after physical approval,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-001,EVID-P2C01-W1-001,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Operational customer is not automatically an accounting account
W1-P2C01-002,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,رأس البوليصة,Waybill,CONTRACT_ONLY,Id:uuid;WaybillNo:string?;DraftNo:string;CompanyId:uuid;BranchId:uuid;ServicePointId:uuid?;AgentId:uuid?;WaybillDateTime:datetime;RequestDateTime:datetime?;ExpectedArrivalAt:datetime?;ServiceType:string;Priority:enum;OriginId:uuid;DestinationId:uuid;CurrencyId:uuid;ExchangeRate:decimal;FreightTotal:decimal;DiscountTotal:decimal;NetAmount:decimal;OperationalStatus:enum;FinancialStatus:enum;RowVersion:bytes,Id,CompanyId->P1 Company;BranchId->P1 Branch;CurrencyId->P1 Currency;OriginId->Geo;DestinationId->Geo,UX(CompanyId BranchId WaybillNo where WaybillNo not null);UX(CompanyId DraftNo);IX(OperationalStatus);IX(FinancialStatus),Company and branch required,RowVersion;approval serialized by numbering operation,create/update/submit/approve/cancel/status/financial changes,DRAFT->READY_FOR_APPROVAL->APPROVED->OPERATIONAL_COMPLETE;financial status independent,New P2 table after physical approval,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-002,EVID-P2C01-W1-002,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Official number is null until server approval
W1-P2C01-003,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,أطراف البوليصة,WaybillParty,CONTRACT_ONLY,Id:uuid;WaybillId:uuid;Role:enum SENDER|RECEIVER|PAYER;OperationalPartyId:uuid?;NameSnapshot:string;MobileSnapshot:string;IdentitySnapshot:string?;AddressSnapshot:text?,Id,WaybillId->Waybill;OperationalPartyId->OperationalParty,UX(WaybillId Role sequence);IX(OperationalPartyId),inherits Waybill scope,controlled by Waybill RowVersion,party assignment and snapshot changes,ACTIVE while Waybill active,New child table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-003,EVID-P2C01-W1-003,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Sender receiver payer roles are explicit
W1-P2C01-004,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,صنف البوليصة,WaybillItem,CONTRACT_ONLY,Id:uuid;WaybillId:uuid;LineNo:int;ItemCode:string?;ItemType:string;Contents:text;Quantity:decimal;Pieces:int?;Weight:decimal?;Length:decimal?;Width:decimal?;Height:decimal?;Volume:decimal?;VolumetricWeight:decimal?;ChargeableWeight:decimal?;DeclaredValue:decimal?;PurchaseValue:decimal?;InsuredValue:decimal?;OriginCountryId:uuid?;ItemFreight:decimal?;RiskFlags:json;Notes:text?;RowVersion:bytes,Id,WaybillId->Waybill;OriginCountryId->Geo,UX(WaybillId LineNo);IX(ItemType),inherits Waybill scope,RowVersion;quantity ledger validation,item add/edit before approval;post-approval only controlled corrections,ACTIVE->CANCELLED/EXCEPTION,New child table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-004,EVID-P2C01-W1-004,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Quantity must remain explainable by movement ledger
W1-P2C01-005,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,الطرد أو القطعة,WaybillPackage,CONTRACT_ONLY,Id:uuid;WaybillItemId:uuid;PackageNo:string;Barcode:string;Quantity:decimal;Weight:decimal?;Status:enum;CurrentLocationId:uuid?,Id,WaybillItemId->WaybillItem;CurrentLocationId->Geo,UX(CompanyId Barcode);IX(WaybillItemId Status),inherits Waybill scope,RowVersion where mutable,package create/label/status/location changes,CREATED->IN_TRANSIT->ARRIVED->DELIVERED/EXCEPTION,New optional tracking table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-005,EVID-P2C01-W1-005,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Package tracking is optional per service policy
W1-P2C01-006,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,مرفق البوليصة,WaybillAttachment,CONTRACT_ONLY,Id:uuid;WaybillId:uuid;ItemId:uuid?;OwnerType:string;AttachmentType:string;StorageRef:string;ContentHash:string;AddedBy:uuid;AddedAt:datetime;Status:enum,Id,WaybillId->Waybill;ItemId->WaybillItem,IX(WaybillId AttachmentType);IX(ContentHash),inherits Waybill scope,append metadata;replacement creates new record,add/view/retire access audited,ACTIVE->RETIRED,New P2 metadata table;binary storage external,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-006,EVID-P2C01-W1-006,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Identity/POD attachments require sensitive permission
W1-P2C01-007,P2-C01-WAYBILL-SHIPPING-2026-08,Collections,خطة دفع البوليصة,PaymentPlanLine,CONTRACT_ONLY,Id:uuid;WaybillId:uuid;LineNo:int;PayerRole:enum;PartyId:uuid?;PaymentMethodCode:string;Amount:decimal?;Percent:decimal?;DueTrigger:enum;DueAt:datetime?;Status:enum,Id,WaybillId->Waybill;PartyId->OperationalParty,UX(WaybillId LineNo),inherits Waybill scope,Waybill RowVersion;plan version,create/update plan audited,DRAFT->ACTIVE->SATISFIED/CANCELLED,New P2 child table,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-007,EVID-P2C01-W1-007,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Plan supports sender receiver split and mixed methods
W1-P2C01-008,P2-C01-WAYBILL-SHIPPING-2026-08,Collections,تحصيل البوليصة,CollectionTransaction,CONTRACT_ONLY,Id:uuid;WaybillId:uuid;PayerRole:string;PartyId:uuid?;PaymentMethodCode:string;CurrencyId:uuid;ExchangeRate:decimal;Amount:decimal;CollectedByType:string;CollectedById:uuid;BranchId:uuid;CollectedAt:datetime;ClientOperationId:string;Status:enum;AccountingReferenceId:uuid?;ReversalOfId:uuid?,Id,WaybillId->Waybill;CurrencyId->P1 Currency;BranchId->P1 Branch;AccountingReferenceId->P1 Voucher/Journal,UX(CompanyId ClientOperationId);IX(WaybillId Status);IX(CollectedById CollectedAt),Company and branch enforced,immutable accepted transaction;reversal separate,idempotency outcome and reversal audited,PENDING->ACCEPTED->REVERSED,New P2 ledger linked to P1 finance,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-008,EVID-P2C01-W1-008,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,FinancialStatus derived from accepted net collections
W1-P2C01-009,P2-C01-WAYBILL-SHIPPING-2026-08,Shipping,إطلاق كمية صنف,ItemRelease,CONTRACT_ONLY,Id:uuid;WaybillItemId:uuid;Quantity:decimal;ReleasedAt:datetime;ReleasedBy:uuid;Status:enum;ReversalOfId:uuid?,Id,WaybillItemId->WaybillItem,IX(WaybillItemId Status),inherits Waybill scope,serialized quantity check,release/reverse audited,ACTIVE->REVERSED,New P2 quantity ledger,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-009,EVID-P2C01-W1-009,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Released net quantity cannot exceed original quantity
W1-P2C01-010,P2-C01-WAYBILL-SHIPPING-2026-08,Transport,الرحلة,Trip,CONTRACT_ONLY,Id:uuid;CompanyId:uuid;BranchId:uuid;TripNo:string;VehicleId:uuid;DriverId:uuid;OriginId:uuid;DestinationId:uuid;PlannedDepartAt:datetime;ActualDepartAt:datetime?;ActualArriveAt:datetime?;Status:enum;RowVersion:bytes,Id,CompanyId->P1 Company;BranchId->P1 Branch;OriginId->Geo;DestinationId->Geo,UX(CompanyId TripNo);IX(DriverId Status);IX(VehicleId Status),Company and operating branch required,RowVersion;start/close serialized,create/assign/start/arrive/close audited,DRAFT->READY->DEPARTED->ARRIVED->CLOSED/CANCELLED,New P2 table; Fleet references contract only,P2-C01-OWNER-20260820,KARRASA-WAYBILL-V1.1,T-P2C01-W1-010,EVID-P2C01-W1-010,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Vehicle and Driver are references until Fleet domain implementation
