Action_ID,Release_ID,Domain,Action_Arabic,Action_Code,HTTP_Verb,Route,Request_DTO,Response_DTO,Required_Permission,Scope,State_Preconditions,State_Transition,Error_Codes,Idempotency,Concurrency,Audit,Offline_Policy,W1_Contract_ID,Test_ID,Evidence_ID,Owner,Reviewer,Status,Closure_Reason
W2-P2C01-001,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,إنشاء مسودة بوليصة,CreateWaybillDraft,POST,/api/v1/waybills/drafts,CreateWaybillDraftRequest,WaybillDraftResponse,waybill.create,company/branch,active company and branch,Draft created with DraftNo only,VALIDATION_ERROR|SCOPE_DENIED,ClientOperationId,Waybill RowVersion after create,create draft actor scope correlation,OFFLINE_QUEUE_ALLOWED,W1-P2C01-002,T-P2C01-W2-001,EVID-P2C01-W2-001,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Draft has no official WaybillNo
W2-P2C01-002,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,تحديث مسودة بوليصة,UpdateWaybillDraft,PUT,/api/v1/waybills/{waybillId}/draft,UpdateWaybillDraftRequest,WaybillDraftResponse,waybill.edit,company/branch,Waybill status DRAFT,Draft fields updated,NOT_FOUND|INVALID_STATE|CONCURRENCY_CONFLICT|VALIDATION_ERROR,ClientOperationId,ExpectedVersion required,before/after fields actor reason for sensitive change,OFFLINE_QUEUE_ALLOWED,W1-P2C01-002;W1-P2C01-003;W1-P2C01-004;W1-P2C01-007,T-P2C01-W2-002,EVID-P2C01-W2-002,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Optimistic concurrency required
W2-P2C01-003,P2-C01-WAYBILL-SHIPPING-2026-08,Party,بحث الزبائن,SearchOperationalParties,GET,/api/v1/operational-parties,PartySearchRequest,PagedOperationalPartyResponse,party.view,company/branch,caller scope valid,no state transition,INVALID_FILTER|SCOPE_DENIED,GET safe retry,n/a,search access may be audited for sensitive fields,ONLINE_PREFERRED_CACHE_ALLOWED,W1-P2C01-001,T-P2C01-W2-003,EVID-P2C01-W2-003,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Search by name mobile identity or party number
W2-P2C01-004,P2-C01-WAYBILL-SHIPPING-2026-08,Party,إضافة زبون تشغيلي,CreateOperationalParty,POST,/api/v1/operational-parties,CreateOperationalPartyRequest,OperationalPartyResponse,party.create,company/branch,minimum name and contact policy valid,Party ACTIVE,PARTY_DUPLICATE_WARNING|VALIDATION_ERROR|SCOPE_DENIED,ClientOperationId,RowVersion returned,create actor scope duplicate override reason,OFFLINE_QUEUE_ALLOWED,W1-P2C01-001,T-P2C01-W2-004,EVID-P2C01-W2-004,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Does not automatically create accounting account
W2-P2C01-005,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,التحقق من البوليصة,ValidateWaybill,POST,/api/v1/waybills/{waybillId}:validate,ValidateWaybillRequest,WaybillValidationResponse,waybill.validate,company/branch,Waybill exists and caller may view,no transition; blocking and warning results returned,NOT_FOUND|SCOPE_DENIED,ClientOperationId optional safe repeat,reads current version,validation invocation and blocking codes recorded,ONLINE_REQUIRED,W1-P2C01-002;W1-P2C01-003;W1-P2C01-004;W1-P2C01-007;W1-P2C01-021,T-P2C01-W2-005,EVID-P2C01-W2-005,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Checks required fields quantities risk customs payment plan
W2-P2C01-006,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,إرسال البوليصة للاعتماد,SubmitWaybillForApproval,POST,/api/v1/waybills/{waybillId}:submit,SubmitWaybillRequest,WaybillResponse,waybill.submit,company/branch,DRAFT and validation has no blocking errors,DRAFT->READY_FOR_APPROVAL,NOT_FOUND|INVALID_STATE|VALIDATION_ERROR|CONCURRENCY_CONFLICT,ClientOperationId,ExpectedVersion required,state transition actor validation snapshot,ONLINE_REQUIRED,W1-P2C01-002;W1-P2C01-003;W1-P2C01-004;W1-P2C01-007,T-P2C01-W2-006,EVID-P2C01-W2-006,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,No official number issued yet
W2-P2C01-007,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,اعتماد البوليصة وإصدار الرقم,ApproveWaybill,POST,/api/v1/waybills/{waybillId}:approve,ApproveWaybillRequest,ApprovedWaybillResponse,waybill.approve,company/branch,READY_FOR_APPROVAL and no active blocking hold or validation error,READY_FOR_APPROVAL->APPROVED;official WaybillNo atomically reserved,NOT_FOUND|INVALID_STATE|NUMBERING_UNAVAILABLE|CONCURRENCY_CONFLICT|VALIDATION_ERROR,Idempotency-Key required and returns same WaybillNo,serialized approval plus sequence lock,approval actor sequence reservation financial snapshot,ONLINE_REQUIRED,W1-P2C01-002;W1-P2C01-024,T-P2C01-W2-007,EVID-P2C01-W2-007,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Atomic server commit required
W2-P2C01-008,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,إرجاع البوليصة للاستكمال,ReturnWaybillForCorrection,POST,/api/v1/waybills/{waybillId}:return,ReturnWaybillRequest,WaybillResponse,waybill.approval.return,company/branch,READY_FOR_APPROVAL,READY_FOR_APPROVAL->DRAFT,NOT_FOUND|INVALID_STATE|REASON_REQUIRED|CONCURRENCY_CONFLICT,ClientOperationId,ExpectedVersion,reviewer and reason audited,ONLINE_REQUIRED,W1-P2C01-002,T-P2C01-W2-008,EVID-P2C01-W2-008,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Reason mandatory
W2-P2C01-009,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,إلغاء البوليصة,CancelWaybill,POST,/api/v1/waybills/{waybillId}:cancel,CancelWaybillRequest,WaybillResponse,waybill.cancel,company/branch,allowed state and no irreversible delivery/financial blockers,status->CANCELLED with number retained if already issued,NOT_FOUND|INVALID_STATE|CANCEL_BLOCKED|REASON_REQUIRED,ClientOperationId,ExpectedVersion,actor reason financial impact audited,ONLINE_REQUIRED,W1-P2C01-002,T-P2C01-W2-009,EVID-P2C01-W2-009,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Official number is never reused
W2-P2C01-010,P2-C01-WAYBILL-SHIPPING-2026-08,Attachments,إضافة مرفق,AddWaybillAttachment,POST,/api/v1/waybills/{waybillId}/attachments,AddAttachmentRequest,AttachmentResponse,waybill.attachment.add,company/branch,Waybill accessible and attachment type allowed,attachment ACTIVE,NOT_FOUND|FILE_TYPE_DENIED|FILE_TOO_LARGE|HASH_MISMATCH|SCOPE_DENIED,ClientOperationId,append only,actor type hash storage ref audited,OFFLINE_CAPTURE_SYNC_ALLOWED,W1-P2C01-006,T-P2C01-W2-010,EVID-P2C01-W2-010,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Sensitive attachments require dedicated view permission
W2-P2C01-011,P2-C01-WAYBILL-SHIPPING-2026-08,Collections,تثبيت خطة الدفع,SetPaymentPlan,PUT,/api/v1/waybills/{waybillId}/payment-plan,SetPaymentPlanRequest,PaymentPlanResponse,waybill.payment.plan,company/branch,Waybill DRAFT or controlled amendment allowed,payment plan version updated,NOT_FOUND|INVALID_STATE|PLAN_TOTAL_INVALID|CONCURRENCY_CONFLICT,ClientOperationId,ExpectedVersion,before/after payer method amounts audited,ONLINE_REQUIRED,W1-P2C01-007,T-P2C01-W2-011,EVID-P2C01-W2-011,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Supports split payer and mixed payment methods
W2-P2C01-012,P2-C01-WAYBILL-SHIPPING-2026-08,Collections,تسجيل تحصيل,RecordCollection,POST,/api/v1/waybills/{waybillId}/collections,RecordCollectionRequest,CollectionResponse,waybill.collection.create,company/branch,Waybill approved or permitted collection stage; amount positive; method valid,Collection PENDING/ACCEPTED and financial status recalculated,NOT_FOUND|AMOUNT_INVALID|PAYMENT_METHOD_INVALID|SCOPE_DENIED|DUPLICATE_OPERATION,ClientOperationId required,accepted collection immutable,collector payer amount method currency location audited,OFFLINE_QUEUE_ALLOWED_SERVER_ACCEPTED,W1-P2C01-008;W1-P2C01-023,T-P2C01-W2-012,EVID-P2C01-W2-012,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,Driver or agent collections remain accountable until settlement
W2-P2C01-013,P2-C01-WAYBILL-SHIPPING-2026-08,Collections,عكس تحصيل,ReverseCollection,POST,/api/v1/collections/{collectionId}:reverse,ReverseCollectionRequest,CollectionResponse,waybill.collection.reverse,company/branch,accepted unreversed collection exists,original remains; reversal event created; financial status recalculated,NOT_FOUND|ALREADY_REVERSED|REASON_REQUIRED|PERIOD_CLOSED,ClientOperationId required,immutable original,reversal link actor reason accounting ref audited,ONLINE_REQUIRED,W1-P2C01-008;W1-P2C01-023,T-P2C01-W2-013,EVID-P2C01-W2-013,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,No delete of accepted collection
W2-P2C01-014,P2-C01-WAYBILL-SHIPPING-2026-08,Shipping,إطلاق كمية صنف للترحيل,ReleaseItemQuantity,POST,/api/v1/waybills/{waybillId}/items/{itemId}/releases,ReleaseItemRequest,ItemQuantityStateResponse,waybill.release,company/branch,Waybill APPROVED; item active; quantity <= remaining to release,release ledger appended; waybill may become released partial/full,NOT_FOUND|INVALID_STATE|QUANTITY_EXCEEDS_REMAINING|HOLD_BLOCKED,ClientOperationId,serialized quantity check,quantity user location event audited,ONLINE_REQUIRED,W1-P2C01-004;W1-P2C01-009;W1-P2C01-026,T-P2C01-W2-014,EVID-P2C01-W2-014,TransportERP Product Owner,Independent Architecture Review,READY_FOR_REVIEW,ReleaseNet cannot exceed original quantity
