Action_ID,Release_ID,Domain,Action_Arabic,Action_Code,HTTP_Verb,Route,Request_DTO,Response_DTO,Required_Permission,Scope,State_Preconditions,State_Transition,Error_Codes,Idempotency,Concurrency,Audit,Offline_Policy,W1_Contract_ID,Test_ID,Evidence_ID,Owner,Reviewer,Status,Closure_Reason
W2-P1-001,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,تسجيل الدخول,Authenticate,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-002,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,إدارة المستخدمين,ManageUsers,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-003,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,إسناد الأدوار والصلاحيات,AssignPermissions,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-004,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Organization,إدارة المؤسسات والفروع,ManageOrganizations,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-005,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Settings,حفظ الإعدادات العامة,SaveGlobalSettings,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-006,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Settings,حفظ إعدادات المؤسسة والفرع,SaveScopedSettings,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-007,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,إنشاء دليل الحسابات,CreateChartOfAccounts,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-008,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,فتح وإغلاق الفترة المالية,ManageFiscalPeriod,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-009,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,إنشاء قيد يومي,CreateJournalEntry,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-010,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,اعتماد وترحيل القيد,PostJournalEntry,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-011,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,عكس القيد,ReverseJournalEntry,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-012,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,تسجيل سند قبض,CreateReceiptVoucher,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-013,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,تسجيل سند صرف,CreatePaymentVoucher,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-014,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Audit,قراءة سجل التدقيق,ReadAuditEvents,,,,,,,,,,,,,,,,,,,OPEN,
W2-P1-015,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Offline,مزامنة عمليات P1,SyncP1Operations,,,,,,,,,,,,,,,,,,,OPEN,
