Screen_ID,Release_ID,Domain,Screen_Arabic,Screen_Code,Device,Role,RTL_Layout,Fields_Contract,States,Action_IDs,W1_Contract_IDs,Permissions,Validation,Empty_Load_Error_States,Offline_Policy,Audit,Accessibility,Reference_Evidence,Test_ID,Owner,Reviewer,Status,Closure_Reason
W3-P1-001,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,تسجيل الدخول,Login,Desktop/Mobile,All,REQUIRED,UserName/email;Password;Company selector optional;Branch selector optional;DeviceId;Remember device,Idle->Submitting->Authenticated/Failed/Locked,W2-P1-001,W1-P1-001;W1-P1-002;W1-P1-003,auth.login;auth.scope.select,required username/password; active account; scope required when ambiguous,NO_DATA: none; LOAD_ERROR: AUTH_SERVICE_UNAVAILABLE; ERROR: invalid credentials/locked/scope,ONLINE_REQUIRED,login success/failure; device; scope; correlation,RTL labels; logical tab order; password visibility toggle; error not revealing account existence,EVID-CONTRACT-P1-W3-001,T-W3-001,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W3 fields specified as P1 screen contract baseline; original RTL wireframe and owner acceptance remain required before implementation authorization.
W3-P1-002,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,المستخدمون,Users,Desktop,Admin,REQUIRED,Filter;Search;UserName;DisplayName;Email;Phone;Company;Branch;Status;Roles;LastLogin;Create/Edit drawer,Loading->Ready/Empty/Error->Editing->Saved/Conflict,W2-P1-002,W1-P1-001;W1-P1-002;W1-P1-003;W1-P1-004;W1-P1-005,identity.users.manage,unique username per company; valid email/phone; scope; role required,EMPTY: لا يوجد مستخدمون; LOAD_ERROR; VALIDATION_ERROR; CONCURRENCY_CONFLICT,ONLINE_REQUIRED,CRUD and role assignment audited,RTL table; keyboard actions; filters labeled; confirmation for lock/delete,EVID-CONTRACT-P1-W3-002,T-W3-002,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W3 fields specified as P1 screen contract baseline; original RTL wireframe and owner acceptance remain required before implementation authorization.
W3-P1-003,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,الأدوار والصلاحيات,RolesPermissions,Desktop,Admin,REQUIRED,Role list;Code;Name;Status;Permission resource/action matrix;Scope;Assigned users count,Loading->Ready/Empty/Error->Editing->Saved/Conflict,W2-P1-003,W1-P1-002;W1-P1-003;W1-P1-001,identity.permissions.manage,unique role code; system role protected; scope cannot exceed caller,EMPTY: لا توجد أدوار; LOAD_ERROR; INVALID_SCOPE; CONCURRENCY_CONFLICT,ONLINE_REQUIRED,role/permission before-after and reason,RTL matrix with row/column headers; focus visible; bulk action confirmation,EVID-CONTRACT-P1-W3-003,T-W3-003,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W3 fields specified as P1 screen contract baseline; original RTL wireframe and owner acceptance remain required before implementation authorization.
W3-P1-004,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Organization,المؤسسات والفروع,OrganizationsBranches,Desktop,Admin,REQUIRED,Company code/name/legal identifier/base currency/status; Branch code/name/timezone/status; hierarchy breadcrumb,Loading->Ready/Empty/Error->Editing->Saved/Conflict,W2-P1-004,W1-P1-004;W1-P1-005;W1-P1-011,organization.manage,unique codes; base currency required; branch belongs to selected company,EMPTY: لا توجد مؤسسات/فروع; LOAD_ERROR; DUPLICATE_CODE; INVALID_STATE,ONLINE_REQUIRED,create/update/status and scope audited,RTL tree/grid; hierarchy conveyed by text; no color-only status,EVID-CONTRACT-P1-W3-004,T-W3-004,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W3 fields specified as P1 screen contract baseline; original RTL wireframe and owner acceptance remain required before implementation authorization.
W3-P1-005,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Settings,الإعدادات العامة,GlobalSettings,Desktop,Admin,REQUIRED,Search key;Value editor by schema;Type;Version;Status;Effective source;Change reason,Loading->Ready/Empty/Error->Editing->Saved/Conflict,W2-P1-005,W1-P1-006,settings.global.manage,registered key; schema-valid value; reason on sensitive change,EMPTY: لا توجد إعدادات; LOAD_ERROR; SETTING_SCHEMA_INVALID; CONCURRENCY_CONFLICT,ONLINE_REQUIRED,value hash before/after; secret metadata only,RTL forms; labels and units; sensitive values masked; keyboard accessible,EVID-CONTRACT-P1-W3-005,T-W3-005,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W3 fields specified as P1 screen contract baseline; original RTL wireframe and owner acceptance remain required before implementation authorization.
W3-P1-006,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Settings,إعدادات المؤسسة والفرع,ScopedSettings,Desktop,Admin,REQUIRED,Company/Branch selector;Key;Value;Type;Version;Effective precedence;Reset override;Reason,Loading->Ready/Empty/Error->Editing->Saved/Conflict,W2-P1-006,W1-P1-004;W1-P1-005;W1-P1-007;W1-P1-008,settings.scoped.manage,active scope; key allowed; fallback displayed; value valid,EMPTY: لا توجد إعدادات للنطاق; LOAD_ERROR; SETTING_SCOPE_INVALID; CONCURRENCY_CONFLICT,ONLINE_REQUIRED,before/after and precedence trace,RTL hierarchy; selected scope always visible; reset requires confirmation,EVID-CONTRACT-P1-W3-006,T-W3-006,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W3 fields specified as P1 screen contract baseline; original RTL wireframe and owner acceptance remain required before implementation authorization.
W3-P1-007,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,دليل الحسابات,ChartOfAccounts,Desktop,Accountant,REQUIRED,Tree;Code;Arabic name;English name;Parent;Account type;Posting allowed;Currency;Status;Search;Effective date,Loading->Ready/Empty/Error->Editing->Saved/Conflict,W2-P1-007,W1-P1-004;W1-P1-009;W1-P1-011;W1-P1-012,accounting.chart.manage,unique code; parent valid; posting account cannot have children; no reparent with posted entries,EMPTY: لا يوجد دليل حسابات; LOAD_ERROR; ACCOUNT_CODE_DUPLICATE; PARENT_INVALID; CONCURRENCY_CONFLICT,ONLINE_REQUIRED,hierarchy changes and posting flag audited,RTL tree keyboard navigation; expand/collapse announced; numeric codes preserved,EVID-CONTRACT-P1-W3-007,T-W3-007,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W3 fields specified as P1 screen contract baseline; original RTL wireframe and owner acceptance remain required before implementation authorization.
W3-P1-008,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,الفترات والعملات والأبعاد,FiscalCurrenciesDimensions,Desktop,Accountant,REQUIRED,Tabs for fiscal periods/currencies/dimensions; dates; status; close/reopen action; currency code/minor unit; dimension tree/value,Loading->Ready/Empty/Error->Editing->Saved/Conflict->Closed,W2-P1-008,W1-P1-004;W1-P1-010;W1-P1-011;W1-P1-012,accounting.period.manage;accounting.reference.manage,no overlapping periods; valid dates; close blockers; unique currency/dimension values,EMPTY: لا توجد فترات/عملات/أبعاد; LOAD_ERROR; PERIOD_OVERLAP; PERIOD_HAS_BLOCKERS,ONLINE_REQUIRED,period/currency/dimension changes audited,RTL tabs; dates localized with ISO machine value; status text not color-only,EVID-CONTRACT-P1-W3-008,T-W3-008,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W3 fields specified as P1 screen contract baseline; original RTL wireframe and owner acceptance remain required before implementation authorization.
W3-P1-009,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,القيود اليومية,JournalEntries,Desktop,Accountant,REQUIRED,List filters;DocumentNo;EntryDate;Period;Description;Currency;Debit/Credit lines;Account;Dimension;Amount;Source reference;Status,Loading->Ready/Empty/Error->DraftEditing->Checked->Approved->Posted/Reversed,W2-P1-009;W2-P1-010;W2-P1-011,W1-P1-004;W1-P1-005;W1-P1-009;W1-P1-010;W1-P1-012;W1-P1-013;W1-P1-016,accounting.journal.create;accounting.journal.post;accounting.journal.reverse,balanced debit/credit; period open; accounts/dimensions valid; reason for reverse,EMPTY: لا توجد قيود; LOAD_ERROR; ENTRY_UNBALANCED; PERIOD_CLOSED; INVALID_STATE_TRANSITION,OFFLINE_ALLOWED_DRAFT_ONLY,draft/check/approve/post/reverse and totals audited,RTL grid; debit/credit announced; keyboard line entry; unsaved warning,EVID-CONTRACT-P1-W3-009,T-W3-009,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W3 fields specified as P1 screen contract baseline; original RTL wireframe and owner acceptance remain required before implementation authorization.
W3-P1-010,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,سندات القبض والصرف,ReceiptPaymentVouchers,Desktop,Accountant,REQUIRED,Tabs receipt/payment; Search by name/reference; payer/payee; amount; currency; payment method; cashbox; allocation; attachment; status,Loading->Ready/Empty/Error->DraftEditing->Approved->Posted/Cancelled,W2-P1-012;W2-P1-013,W1-P1-004;W1-P1-005;W1-P1-010;W1-P1-011;W1-P1-014;W1-P1-015,accounting.receipts.create;accounting.payments.create,positive amount; valid method; reference allocation; period open; authority,EMPTY: لا توجد سندات/بنود مفتوحة; LOAD_ERROR; REFERENCE_NOT_FOUND; AMOUNT_INVALID; PERIOD_CLOSED,OFFLINE_ALLOWED_DRAFT_ONLY,payer/payee; allocation; evidence; approval; posting audited,RTL search-first workflow; payment method readable; confirmation before posting,EVID-CONTRACT-P1-W3-010,T-W3-010,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W3 fields specified as P1 screen contract baseline; original RTL wireframe and owner acceptance remain required before implementation authorization.
