Screen_ID,Release_ID,Domain,Screen_Arabic,Screen_Code,Device,Role,RTL_Layout,Fields_Contract,States,Action_IDs,W1_Contract_IDs,Permissions,Validation,Empty_Load_Error_States,Offline_Policy,Audit,Accessibility,Reference_Evidence,Test_ID,Owner,Reviewer,Status,Closure_Reason
W3-P2C01-001,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,رأس البوليصة,SHP-005,Desktop,WaybillClerk,REQUIRED,WaybillNo;DraftNo;Branch;ServicePoint;Agent;Dates;Priority;Origin;Destination;Currency;Freight;Discount;OperationalStatus;FinancialStatus,Loading->DraftEditing->ReadyForApproval->Approved/Cancelled->Error,W2-P2C01-001;W2-P2C01-002;W2-P2C01-005;W2-P2C01-006;W2-P2C01-007;W2-P2C01-008;W2-P2C01-009;W2-P2C01-035,W1-P2C01-002;W1-P2C01-024,waybill.view;waybill.create;waybill.edit;waybill.submit;waybill.approve,required branch origin destination currency; no official number in draft; price nonnegative,EMPTY: new draft;LOAD_ERROR;VALIDATION_ERROR;CONCURRENCY_CONFLICT,OFFLINE_ALLOWED_DRAFT_ONLY,create/update/submit/approve/cancel and sensitive changes,RTL form; keyboard flow; status text not color-only,EVID-KARRASA-SHP-005,T-P2C01-W3-001,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Primary transaction shell
W3-P2C01-002,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,أطراف البوليصة,SHP-006,Desktop,WaybillClerk,REQUIRED,Sender search;Receiver search;Payer role;Party number;Name;Mobile;Identity;Address;New party,Loading->Ready/Empty/Error->Selecting->Saved,W2-P2C01-003;W2-P2C01-004;W2-P2C01-002,W1-P2C01-001;W1-P2C01-003,party.view;party.create;waybill.edit,sender and receiver required before approval; selected result returns to invoking role,EMPTY: no party match;LOAD_ERROR;PARTY_DUPLICATE_WARNING,OFFLINE_CACHE_SEARCH_CREATE_QUEUE,party selection/create and identity access,RTL search; clear invoking role; sensitive identity masked,EVID-KARRASA-SHP-006,T-P2C01-W3-002,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Operational parties not accounting customers
W3-P2C01-003,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,أصناف البوليصة,SHP-007,Desktop,WaybillClerk,REQUIRED,LineNo;ItemType;Contents;Quantity;Pieces;DeclaredValue;OriginCountry;RiskFlags;Notes,Loading->Ready/Empty/Error->Editing->Validated,W2-P2C01-002;W2-P2C01-005,W1-P2C01-004;W1-P2C01-021,waybill.edit;waybill.validate,at least one item;quantity >0; prohibited/permit/customs rules,EMPTY: no items;LOAD_ERROR;PROHIBITED_ITEM;PERMIT_REQUIRED;VALIDATION_ERROR,OFFLINE_ALLOWED_DRAFT_ONLY,item additions edits and risk overrides,RTL grid; warnings textual and icon; keyboard line entry,EVID-KARRASA-SHP-007,T-P2C01-W3-003,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Multi-item waybill
W3-P2C01-004,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,الأوزان والأبعاد والقيم,SHP-008,Desktop,WaybillClerk,REQUIRED,Weight;Length;Width;Height;Volume;VolumetricWeight;ChargeableWeight;DeclaredValue;PurchaseValue;InsuredValue,Loading->Ready/Error->Editing->Calculated,W2-P2C01-002;W2-P2C01-005,W1-P2C01-004,waybill.edit;waybill.validate,measurements nonnegative;chargeable weight follows pricing policy,LOAD_ERROR;MEASUREMENT_INVALID,OFFLINE_ALLOWED_DRAFT_ONLY,before/after measurements when approved correction,RTL numeric fields; units visible,EVID-KARRASA-SHP-008,T-P2C01-W3-004,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Measurement tab of item
W3-P2C01-005,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,الخدمات والرسوم الإضافية,SHP-009,Desktop,WaybillClerk,REQUIRED,ServiceType;ItemFreight;AdditionalCharge;Discount;NetAmount,Loading->Ready/Error->Editing->Calculated,W2-P2C01-002;W2-P2C01-011,W1-P2C01-002;W1-P2C01-004;W1-P2C01-007,waybill.edit;waybill.payment.plan,amounts nonnegative;discount within authority,LOAD_ERROR;DISCOUNT_LIMIT;AMOUNT_INVALID,ONLINE_REQUIRED,before/after pricing and override reason,RTL money formatting; currency always visible,EVID-KARRASA-SHP-009,T-P2C01-W3-005,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Pricing detail without hard-coded accounts
W3-P2C01-006,P2-C01-WAYBILL-SHIPPING-2026-08,Collections,خطة الدفع للبوليصة,SHP-010,Desktop,Cashier/WaybillClerk,REQUIRED,PayerRole;Party;PaymentMethod;Amount;Percent;DueTrigger;DueAt,Loading->Ready/Empty/Error->Editing->Saved,W2-P2C01-011,W1-P2C01-007,waybill.payment.plan,total plan equals payable policy;split and mixed methods valid,EMPTY: no plan;LOAD_ERROR;PLAN_TOTAL_INVALID,ONLINE_REQUIRED,payer method amount changes audited,RTL line grid; percentage and amount modes explicit,EVID-KARRASA-SHP-010,T-P2C01-W3-006,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Payment plan separate from actual collection
W3-P2C01-007,P2-C01-WAYBILL-SHIPPING-2026-08,Collections,تحصيلات البوليصة,SHP-011,Desktop/Mobile,Cashier/AuthorizedCollector,REQUIRED,Waybill;Payer;Method;Currency;ExchangeRate;Amount;Collector;Location;Reference;Status,Loading->Ready/Empty/Error->Submitting->Accepted/Reversed,W2-P2C01-012;W2-P2C01-013,W1-P2C01-008;W1-P2C01-023,waybill.collection.create;waybill.collection.reverse,positive amount;method valid;reversal reason required,EMPTY: no collections;LOAD_ERROR;DUPLICATE_OPERATION;AMOUNT_INVALID,OFFLINE_QUEUE_ALLOWED_SERVER_ACCEPTED,collector payer amount method currency ack and reversal,RTL collection form; server accepted status explicit,EVID-KARRASA-SHP-011,T-P2C01-W3-007,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Accepted collection immutable
W3-P2C01-008,P2-C01-WAYBILL-SHIPPING-2026-08,Collections,حالة السداد والمتبقي,SHP-012,Desktop,Finance/Operations,REQUIRED,NetAmount;PaidTotal;Remaining;FinancialStatus;LastCollection;PayerPlan,Loading->Ready/Empty/Error,W2-P2C01-012;W2-P2C01-013,W1-P2C01-002;W1-P2C01-007;W1-P2C01-008,waybill.view;waybill.collection.create,status derived from accepted net collections not manual,EMPTY: no collections;LOAD_ERROR,ONLINE_REQUIRED,read plus any collection action audited by source action,RTL summary; colors supplemented with status text,EVID-KARRASA-SHP-012,T-P2C01-W3-008,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Financial status independent from operational status
W3-P2C01-009,P2-C01-WAYBILL-SHIPPING-2026-08,Attachments,مرفقات البوليصة,SHP-013,Desktop/Mobile,WaybillClerk/AuthorizedViewer,REQUIRED,AttachmentType;OwnerType;Item;File;Hash;AddedBy;AddedAt;Status,Loading->Ready/Empty/Error->Uploading->Saved,W2-P2C01-010,W1-P2C01-006,waybill.attachment.add;waybill.attachment.view,file type/size/hash policy; sensitive proof permission,EMPTY: no attachments;LOAD_ERROR;FILE_TYPE_DENIED;HASH_MISMATCH,OFFLINE_CAPTURE_SYNC_ALLOWED,add/view sensitive access audited,RTL list; file type and size textual,EVID-KARRASA-SHP-013,T-P2C01-W3-009,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,External binary storage reference only
W3-P2C01-010,P2-C01-WAYBILL-SHIPPING-2026-08,Waybill,اعتماد البوليصة,SHP-014,Desktop,WaybillApprover,REQUIRED,ValidationSummary;BlockingErrors;Warnings;DraftNo;ProposedScope;ApprovalReason,Loading->Ready/Error->Submitting->Approved/Returned,W2-P2C01-005;W2-P2C01-006;W2-P2C01-007;W2-P2C01-008;W2-P2C01-009,W1-P2C01-002;W1-P2C01-024,waybill.approve;waybill.approval.return;waybill.cancel,no blocking errors;server numbering only after approval,LOAD_ERROR;VALIDATION_ERROR;NUMBERING_UNAVAILABLE;CONCURRENCY_CONFLICT,ONLINE_REQUIRED,approver validation snapshot number reservation reason,RTL review layout; warnings grouped; destructive actions confirmed,EVID-KARRASA-SHP-014,T-P2C01-W3-010,TransportERP Product Owner,Independent UX/Architecture Review,READY_FOR_REVIEW,Atomic approval and numbering
