Evidence_ID,Entity_Code,Source_System,Source_Entity,Candidate_Table,Evidence_Type,Source_Ref,Evidence_Status,Reuse_Decision,Notes
EVID-ALTAYER-User,User,AlTayerERP,User,users,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/User.cs; AlTayerERP.Infrastructure/Data/AppDbContext.cs,EXACT_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-Role,Role,AlTayerERP,Role,roles,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/Role.cs; AlTayerERP.Infrastructure/Data/AppDbContext.cs,EXACT_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-Permission,Permission,AlTayerERP,SystemPermission; RolePermission; UserPermission,system_permissions; role_permissions; user_permissions,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/SystemPermission.cs; RolePermission.cs; UserPermission.cs; AppDbContext.cs,AMBIGUOUS_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-Company,Company,AlTayerERP,Company,companies,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/Company.cs; AlTayerERP.Infrastructure/Data/AppDbContext.cs,EXACT_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-Branch,Branch,AlTayerERP,TenantBranch,tenant_branches,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/TenantBranch.cs; AlTayerERP.Infrastructure/Data/AppDbContext.cs,EXACT_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-GlobalSetting,GlobalSetting,AlTayerERP,SystemSetting,system_settings,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/SystemSetting.cs; AppDbContext.cs,PARTIAL_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-CompanySetting,CompanySetting,AlTayerERP,SystemSetting,system_settings,SOURCE_CODE_REFERENCE,"SystemSetting exists, but company-level scope is not confirmed by this source",SCOPE_UNCONFIRMED,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-BranchSetting,BranchSetting,AlTayerERP,SystemSetting,system_settings,SOURCE_CODE_REFERENCE,"SystemSetting exists, but branch-level scope is not confirmed by this source",SCOPE_UNCONFIRMED,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-ChartOfAccounts,ChartOfAccounts,AlTayerERP,ChartOfAccount,chart_of_accounts,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/ChartOfAccount.cs; AppDbContext.cs,EXACT_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-FiscalPeriod,FiscalPeriod,AlTayerERP,FiscalPeriod,fiscal_periods,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/FiscalPeriod.cs; AppDbContext.cs,EXACT_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-Currency,Currency,AlTayerERP,Currency,currencies,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/Currency.cs; AppDbContext.cs,EXACT_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-FinancialDimension,FinancialDimension,AlTayerERP,CostCenter,cost_centers,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/CostCenter.cs; mapping to FinancialDimension requires authority decision,MAPPED_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-JournalEntry,JournalEntry,AlTayerERP,JournalEntryHeader; JournalEntryDetail,journal_entry_headers; journal_entry_details,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/Accounting/*; AppDbContext.cs,COMPOSITE_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-ReceiptVoucher,ReceiptVoucher,AlTayerERP,FinancialVoucherHeader; FinancialVoucherDetail; VoucherType; PaymentMethod,financial_voucher_headers; financial_voucher_details; voucher_types; payment_methods,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/Accounting/*; AppDbContext.cs,COMPOSITE_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-PaymentVoucher,PaymentVoucher,AlTayerERP,FinancialVoucherHeader; FinancialVoucherDetail; VoucherType; PaymentMethod,financial_voucher_headers; financial_voucher_details; voucher_types; payment_methods,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/Accounting/*; AppDbContext.cs,COMPOSITE_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-AuditEvent,AuditEvent,AlTayerERP,AuditLog,audit_logs,SOURCE_CODE_REFERENCE,AlTayerERP.Core/Entities/Accounting/AuditLog.cs; AppDbContext.cs,EXACT_REFERENCE,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
EVID-ALTAYER-SyncOperation,SyncOperation,AlTayerERP,,,SOURCE_CODE_REFERENCE,No matching SyncOperation/Offline queue entity found in inspected AlTayerERP source,NOT_FOUND,PENDING_OWNER_APPROVAL,Reference evidence is not a TransportERP implementation and cannot close W1 by itself.
