Action_ID,Release_ID,Domain,Action_Arabic,Action_Code,HTTP_Verb,Route,Request_DTO,Response_DTO,Required_Permission,Scope,State_Preconditions,State_Transition,Error_Codes,Idempotency,Concurrency,Audit,Offline_Policy,W1_Contract_ID,Test_ID,Evidence_ID,Owner,Reviewer,Status,Closure_Reason
W2-P1-001,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,تسجيل الدخول,Authenticate,POST,/api/v1/auth/sessions,AuthenticateRequest,AuthenticateResponse,auth.login,platform/selected-company,User exists; credentials valid; account active,session created; refresh token issued,AUTH_INVALID_CREDENTIALS|AUTH_LOCKED|AUTH_SCOPE_REQUIRED|VALIDATION_ERROR,client request id; safe retry only before session issue,n/a for login; session revocation version,login success/failure and device recorded,ONLINE_REQUIRED,W1-P1-001;W1-P1-002;W1-P1-003,T-W2-001,EVID-CONTRACT-P1-W2-P1-001,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W2 fields specified as P1 API contract baseline; endpoint implementation and owner acceptance remain gated.
W2-P1-002,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,إدارة المستخدمين,ManageUsers,POST,/api/v1/identity/users,CreateOrUpdateUserRequest,UserResponse,identity.users.manage,company/branch,caller has permission; company active,user created/updated; audit event,USER_DUPLICATE|USER_NOT_FOUND|SCOPE_DENIED|VALIDATION_ERROR|CONCURRENCY_CONFLICT,ClientOperationId,User.RowVersion,before/after; actor; scope,ONLINE_REQUIRED,W1-P1-001;W1-P1-002;W1-P1-003,T-W2-002,EVID-CONTRACT-P1-W2-P1-002,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W2 fields specified as P1 API contract baseline; endpoint implementation and owner acceptance remain gated.
W2-P1-003,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Identity,إسناد الأدوار والصلاحيات,AssignPermissions,PUT,/api/v1/identity/users/{userId}/roles,AssignPermissionsRequest,PermissionAssignmentResponse,identity.permissions.manage,company/branch,target user and role exist; caller may delegate,assignments replaced/added; audit event,USER_NOT_FOUND|ROLE_NOT_FOUND|PERMISSION_NOT_FOUND|SCOPE_DENIED|CONCURRENCY_CONFLICT,ClientOperationId,User/Role RowVersion,assignment before/after; reason,ONLINE_REQUIRED,W1-P1-001;W1-P1-002;W1-P1-003,T-W2-003,EVID-CONTRACT-P1-W2-P1-003,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W2 fields specified as P1 API contract baseline; endpoint implementation and owner acceptance remain gated.
W2-P1-004,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Organization,إدارة المؤسسات والفروع,ManageOrganizations,POST,/api/v1/organizations/companies/{companyId}/branches,ManageOrganizationRequest,OrganizationResponse,organization.manage,platform/company,company exists; branch code unique; no closed parent,company/branch created or updated,COMPANY_NOT_FOUND|BRANCH_DUPLICATE|INVALID_STATE|SCOPE_DENIED|CONCURRENCY_CONFLICT,ClientOperationId,Company/Branch RowVersion,before/after; approval for status,ONLINE_REQUIRED,W1-P1-004;W1-P1-005,T-W2-004,EVID-CONTRACT-P1-W2-P1-004,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W2 fields specified as P1 API contract baseline; endpoint implementation and owner acceptance remain gated.
W2-P1-005,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Settings,حفظ الإعدادات العامة,SaveGlobalSettings,PUT,/api/v1/settings/global/{key},SaveSettingRequest,SettingResponse,settings.global.manage,platform,key is registered; value schema valid,global setting version incremented,SETTING_NOT_FOUND|SETTING_SCHEMA_INVALID|CONCURRENCY_CONFLICT|SCOPE_DENIED,ClientOperationId,GlobalSetting.Version/RowVersion,effective value and actor,ONLINE_REQUIRED,W1-P1-006,T-W2-005,EVID-CONTRACT-P1-W2-P1-005,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W2 fields specified as P1 API contract baseline; endpoint implementation and owner acceptance remain gated.
W2-P1-006,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Settings,حفظ إعدادات المؤسسة والفرع,SaveScopedSettings,PUT,/api/v1/settings/{scopeType}/{scopeId}/{key},SaveScopedSettingRequest,ScopedSettingResponse,settings.scoped.manage,company/branch,scope active; key allowed at layer; value valid,company/branch setting saved; precedence trace,SETTING_SCOPE_INVALID|SETTING_SCHEMA_INVALID|SCOPE_DENIED|CONCURRENCY_CONFLICT,ClientOperationId,CompanySetting/BranchSetting RowVersion,before/after and precedence,ONLINE_REQUIRED,W1-P1-007;W1-P1-008,T-W2-006,EVID-CONTRACT-P1-W2-P1-006,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W2 fields specified as P1 API contract baseline; endpoint implementation and owner acceptance remain gated.
W2-P1-007,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,إنشاء دليل الحسابات,CreateChartOfAccounts,POST,/api/v1/accounting/chart-of-accounts,CreateChartOfAccountsRequest,ChartOfAccountsResponse,accounting.chart.manage,company,company active; parent valid; code unique; posting rules valid,account node created/updated,ACCOUNT_CODE_DUPLICATE|PARENT_INVALID|COMPANY_NOT_FOUND|INVALID_ACCOUNT_TYPE|VALIDATION_ERROR,ClientOperationId,ChartOfAccounts.RowVersion,hierarchy and posting flag changes,ONLINE_REQUIRED,W1-P1-009;W1-P1-012,T-W2-007,EVID-CONTRACT-P1-W2-P1-007,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W2 fields specified as P1 API contract baseline; endpoint implementation and owner acceptance remain gated.
W2-P1-008,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,فتح وإغلاق الفترة المالية,ManageFiscalPeriod,POST,/api/v1/accounting/fiscal-periods/{periodId}/state,ManageFiscalPeriodRequest,FiscalPeriodResponse,accounting.period.manage,company,period exists; transition allowed; no blocking entries for close/reopen,period opened/soft-closed/closed/reopened,PERIOD_NOT_FOUND|PERIOD_OVERLAP|INVALID_STATE_TRANSITION|PERIOD_HAS_BLOCKERS|SCOPE_DENIED|CONCURRENCY_CONFLICT,ClientOperationId,FiscalPeriod.RowVersion,"state transition, reason, approval",ONLINE_REQUIRED,W1-P1-010;W1-P1-011,T-W2-008,EVID-CONTRACT-P1-W2-P1-008,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W2 fields specified as P1 API contract baseline; endpoint implementation and owner acceptance remain gated.
W2-P1-009,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,إنشاء قيد يومي,CreateJournalEntry,POST,/api/v1/accounting/journal-entries,CreateJournalEntryRequest,JournalEntryResponse,accounting.journal.create,company/branch,period open; balanced lines; accounts postable; dimensions valid,journal entry checked or draft created,PERIOD_CLOSED|ENTRY_UNBALANCED|ACCOUNT_NOT_POSTABLE|DIMENSION_INVALID|DUPLICATE_REFERENCE|VALIDATION_ERROR,ClientOperationId required,JournalEntry.RowVersion,source reference and totals,OFFLINE_ALLOWED_DRAFT_ONLY,W1-P1-009;W1-P1-010;W1-P1-011;W1-P1-012;W1-P1-013,T-W2-009,EVID-CONTRACT-P1-W2-P1-009,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W2 fields specified as P1 API contract baseline; endpoint implementation and owner acceptance remain gated.
W2-P1-010,P1-PLATFORM-SETTINGS-ACCOUNTING-2026-08,Accounting,اعتماد وترحيل القيد,PostJournalEntry,POST,/api/v1/accounting/journal-entries/{entryId}/post,PostJournalEntryRequest,JournalEntryResponse,accounting.journal.post,company/branch,entry checked/approved; period open; balanced; caller authorized,entry posted and immutable; audit created,ENTRY_NOT_FOUND|INVALID_STATE_TRANSITION|PERIOD_CLOSED|ENTRY_UNBALANCED|SCOPE_DENIED|CONCURRENCY_CONFLICT,ClientOperationId required,JournalEntry.RowVersion and posting lock,posting snapshot and source correlation,ONLINE_REQUIRED,W1-P1-009;W1-P1-010;W1-P1-013;W1-P1-016,T-W2-010,EVID-CONTRACT-P1-W2-P1-010,TransportERP Product Owner,Independent Architecture Review,READY_FOR_OWNER_ACCEPTANCE,All W2 fields specified as P1 API contract baseline; endpoint implementation and owner acceptance remain gated.
