معرف_الدليل,معرف_مرجع_البحث,الشركة_المنتج,ملف_الصورة,المصدر,نوع_المصدر,الإصدار_المثبت,تصنيف_الحداثة,الشاشات_المستهدفة,أسماء_الشاشات_المستهدفة,التبويبات_أو_الأقسام_المناسبة,الحقول_المناسبة,الإجراءات_المناسبة,ما_تثبته_الصورة_تحديدًا,الاستخدام_التصميمي,التصنيف_الحوكمي,أثر_الحوكمة,تحقق_TEAM_07,تحقق_TEAM_10,تحقق_TEAM_09,نتيجة_TEAM_11,بصمة_SHA_256,الحجم_بايت
EVD-001,SCR-006,Oracle — Oracle Transportation Management 23C,oracle_otm_23c_workbench.png,https://www.oracle.com/webfolder/technetwork/tutorials/tutorial/cloud/otm/releases/23C/23C-otm-wn.htm,صورة أصلية من شاشة الشركة,LEGACY,HISTORICAL — تاريخي,SHP-024 | FLT-013 | SHP-031,تخطيط الحمولة | لوحة التوزيع | تتبع الرحلة,مساحة عمل متعددة الألواح؛ جداول/خرائط؛ فلاتر؛ أعمدة؛ أدوات عمل,الشحنة/الطلب؛ السائق؛ المركبة؛ المحطات؛ الحالة؛ بيانات التخطيط,عرض/إخفاء الألواح؛ تخطيط؛ إسناد؛ سحب وإفلات؛ إجراءات مساحة العمل,Enhanced Workbench,مرجع تخطيط مساحة العمل والتعامل مع الجداول/الخريطة,REFERENCE ONLY — مرجع فقط,لا يغير قاعدة أعمال أو صلاحية أو عقدًا؛ الاقتباس البصري يحتاج موافقة تصميم ضمن المرجع الحاكم.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: وثائق أوراكل الحالية 26C ما زالت توثق مساحة العمل المحسنة؛ الصورة نفسها 23C قديمة، لذلك لا تثبت الشكل الحالي.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط: يمنع اعتبار الصورة متطلبًا حاكمًا أو واجهة حالية عند غياب ختم الإصدار.,4df4837fe8817bf067737b351f19ac48c149f85779aa72f062889b8a08843304,116720
EVD-002,UNMAPPED-UI-REFERENCE,Microsoft — Dynamics 365 Finance/Operations UI,dynamics365_side_by_side.png,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/fin-ops/get-started/,صورة أصلية من شاشة الشركة,UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,—,لا يوجد ربط حاكم مباشر بشاشة,نمط تخطيط واجهة عام فقط,—,—,Side-by-side pages,مرجع تخطيط عام؛ يمنع تحويله إلى مطلب شاشة,REFERENCE ONLY — مرجع فقط,لا يغير قاعدة أعمال أو صلاحية أو عقدًا؛ الاقتباس البصري يحتاج موافقة تصميم ضمن المرجع الحاكم.,PASS — ناجح: لم يُفرض ربط شاشة بلا دليل.,لا يوجد ربط حاكم مباشر بالشاشات؛ مرجع تخطيط عام فقط.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط: يمنع فرض ربط شاشة عندما لا يوجد دليل دلالي كافٍ.,33f09de53828d110c4690c66e8326b02b535610ca1dab1514157a5696417a82d,68594
EVD-003,SCR-008,Rose Rocket — TMS / TMS.ai,roserocket_driver_settlement.webp,https://help.roserocket.com/driver-settlement,صورة أصلية من شاشة الشركة,CURRENT/RECENT,CURRENT/RECENT — حالي/حديث,FIN-035 | SHP-045,تسوية عهدة السائق | تسوية رسوم الرحلة,المستحقات | الفواتير؛ عروض الكل/المانيفست/الوقود/المتكرر,نوع المستحق؛ معرف المانيفست؛ المسند إليه؛ تواريخ البداية/الإكمال؛ مرجع الناقل؛ المسافة؛ المحطات؛ الساعات؛ تفاصيل الفاتورة والتعديلات,إضافة فلتر؛ إنشاء فاتورة؛ إعادة احتساب؛ إضافة بند؛ اعتماد؛ اعتماد وإرسال؛ تعليم كمدفوع,Driver Settlement — Outstanding,نمط تسوية مستحقات السائق ومراحل المراجعة والدفع,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح اقتباس تصميمي فقط؛ لا يغير القواعد المالية الحاكمة.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: صفحة روز روكِت الحالية تؤكد مسار تسوية السائقين.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,04d6eccc8035cec3d91650566535932f438752a929ebcfe1bda1fec098200985,18396
EVD-004,SCR-007,Motive — Fleet Management,motive_dispatch.png,https://helpcenter.gomotive.com/hc/en-us/articles/30898637140893-Dispatch,صورة أصلية من شاشة الشركة,CURRENT/RECENT,CURRENT/RECENT — حالي/حديث,FLT-013 | FLT-014 | FLT-016 | FLT-017,لوحة التوزيع | تخطيط المسار | تكليف السائق | تكليف المركبة/المقطورة,الخطة | قيد التنفيذ | مكتمل,إسناد السائق؛ الحالة؛ المهمة/المسار؛ المحطات؛ الجدول؛ المركبة؛ العنوان,إنشاء مهمة؛ إنشاء مسار؛ تعديل المهمة؛ إلغاء المهمة؛ إرسال إلى السائق,Dispatch Plan,نمط لوحة التوزيع والتخطيط التشغيلي,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح اقتباس تصميمي فقط؛ لا يغير قواعد الإسناد أو التخطيط الحاكمة.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: مركز مساعدة موتِف الحالي يوثق التخطيط والتوزيع وبناء المسارات وإسناد السائقين والمركبات وتتبع التقدم.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,8a52050c4ef79bc165e38fd0cd06f39c78b0eabb2fe3a551b0b98cdd24c7bfe5,732630
EVD-005,SCR-011,Onfleet — Onfleet Driver App,onfleet_pod.png,https://support.onfleet.com/hc/en-us/articles/10348848090644-Proof-of-Delivery,صورة أصلية من شاشة الشركة,CURRENT/RECENT,CURRENT/RECENT — حالي/حديث,SHP-037 | MOB-021,إثبات التسليم | تطبيق السائق — إثبات الاستلام/التسليم,شاشة إكمال مهمة واحدة,المستلم؛ العنوان؛ نتيجة المهمة؛ صورة؛ باركود؛ توقيع؛ تحقق عمر عند الحاجة؛ ملاحظات,التقاط/إرفاق الدليل؛ إكمال بنجاح؛ إكمال بفشل,Complete Task / POD,نمط إثبات التسليم وإكمال المهمة,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح اقتباس تصميمي فقط؛ لا يغير قواعد إثبات التسليم الحاكمة.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: مركز أونفليت الحالي يوثق إثبات التسليم وإكمال المهمة والصور والتوقيعات.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,2d0880b6bb91b2d8c0c1e149cdcc619c3febc7d56e51aba96504356a2649c316,326117
EVD-006,SCR-012,Onfleet — Onfleet,onfleet_client_dashboard.png,https://support.onfleet.com/hc/en-us/articles/360053621071-Client-Dashboard,صورة أصلية من شاشة الشركة,CURRENT/RECENT,CURRENT/RECENT — حالي/حديث,LMD-001 | LMD-010 | MOB-010,لوحة التوصيل والمشاوير | الخريطة الحية للطلبات | تطبيق العميل — تتبع البوليصة/الطلب,الطلبات | الفواتير | دفتر العناوين,معرف الطلب؛ عنوان التسليم؛ الحالة؛ الساعي؛ جهة الاتصال؛ مستوى الخدمة؛ التكلفة؛ معرف الفاتورة؛ تاريخ الإنشاء,إنشاء طلب؛ إجراءات الجدول؛ الإعدادات؛ المحادثة,Client Dashboard / Orders,نمط لوحة الطلبات والبحث والفلاتر والمتابعة,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح اقتباس تصميمي فقط؛ لا يغير عقود الطلبات.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: مركز أونفليت الحالي يوثق لوحة العميل وإنشاء المهام ومتابعتها.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,bd26cf4ee4653e8bbdf6d39bd2d5213bd710d12da55d12781c2fb41422005a99,294699
EVD-007,SCR-075,Fleetio — Fleetio,fleetio_work_order_header.jpg,https://help.fleetio.com/en_US/maintenance/work-order-overview,لقطة يدوية من مركز مساعدة الشركة,CURRENT,CURRENT — حالي,MNT-006 | MNT-008,أمر عمل صيانة | عمليات أمر العمل,التفاصيل | الأعطال المحلولة | ملخص التكلفة | المرفقات | تدفقات البنود,رقم أمر العمل؛ المركبة؛ الحالة؛ الأولوية؛ المسند إليه؛ المتابعون؛ التواريخ؛ العدادات؛ المورد,تعديل؛ بدء العمل؛ تغيير الحالة؛ تغيير الأولوية/الإسناد/المتابعين,Work Order detail header,نمط تفاصيل أمر العمل وتنفيذه,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح اقتباس تصميمي فقط؛ لا يغير دورة حياة الصيانة.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: فليتيو الحالي يوثق تفاصيل أوامر العمل والبنود والحالات.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,b49b894c6a11d34191a60f983410d3fa59830952c2ad57c7f0d8e19f41dd1374,12841
EVD-008,SCR-077,Fleetio — Fleetio Go,fleetio_go_work_order_details.jpg,https://help.fleetio.com/en_US/fleetio-go-for-technicians/work-orders-in-fleetio-go,لقطة يدوية من مركز مساعدة الشركة,CURRENT,CURRENT — حالي,MOB-028,تطبيق الإدارة/الفني — أوامر الصيانة,التفاصيل | الأعطال المحلولة | ملخص التكلفة | المرفقات | بنود الخدمة/العمالة/القطع,رقم أمر العمل؛ المركبة؛ الحالة؛ الأولوية؛ المسند إليه؛ المتابعون؛ التواريخ؛ العدادات؛ المورد,تعديل؛ بدء العمل؛ تغيير الحالة/الأولوية/الإسناد,Work Order Details mobile,نمط تنفيذ أمر العمل ميدانيًا على الجوال,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح اقتباس تصميمي فقط؛ لا يغير عقود الجوال أو الصيانة.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: فليتيو جو الحالي يوثق عرض/بحث/تعديل أوامر العمل وتنفيذها على الجوال.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,14921a9102b975f1a04322f7d80af886c66d7b8c71910ebd627d750ca17c9343,61508
EVD-009,SCR-076,Fleetio — Fleetio,fleetio_work_order_details.jpg,https://help.fleetio.com/work-orders/add-work-orders,لقطة يدوية من مركز مساعدة الشركة,CURRENT,CURRENT — حالي,MNT-006,أمر عمل صيانة,سبعة أقسام موثقة لإنشاء أمر العمل,المركبة؛ الحالة؛ الأولوية؛ تاريخ البلاغ/البدء/الفعلي؛ العدادات؛ الإسناد؛ المورد؛ الفاتورة؛ أمر الشراء,حفظ أمر العمل؛ إضافة عطل؛ تغيير الحالة؛ تعديل/نسخ,New Work Order — Details section,نمط إنشاء أمر عمل صيانة,DEVELOPMENT PROPOSAL — مقترح تطوير,اقتراح اقتباس تصميمي فقط؛ لا يغير عقد أمر العمل.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: فليتيو الحالي يوثق إنشاء أمر العمل وتفاصيله.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,f7d6ec0346c650242b54af23689104d56fb52ffb0c7efaa7532fc0ed0884503c,73112
EVD-010,SCR-013,Betterez — Betterez,betterez_manifest_filters.png,https://support.betterez.com/content/operations/110_manifests,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,TRV-017 | TRV-018,قائمة الركاب/المانيفست | تسجيل الصعود,تفاصيل المانيفست؛ قوائم الركاب؛ التعليقات؛ الحالات التشغيلية,الرحلة؛ المانيفست؛ الراكب؛ التذكرة؛ المقعد؛ السعة؛ المحطات,نقل؛ تسجيل/إلغاء تسجيل الصعود؛ إشعارات؛ إجراءات قائمة الركاب,Filters and manifest search controls; source release stamp unavailable.,نمط إدارة المانيفست والركاب والصعود,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ يمنع اعتباره شكلًا حاليًا.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: دعم بيتريز ما زال يوثق المانيفست والركاب؛ لا يوجد ختم إصدار دقيق كافٍ للصور.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,2e182f8cc818279e7ae97342cf9ca7e9b86d5cabc27112e633534eb0180546c9,28079
EVD-011,SCR-013,Betterez — Betterez,betterez_manifest_list.png,https://support.betterez.com/content/operations/110_manifests,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,TRV-017 | TRV-018,قائمة الركاب/المانيفست | تسجيل الصعود,تفاصيل المانيفست؛ قوائم الركاب؛ التعليقات؛ الحالات التشغيلية,الرحلة؛ المانيفست؛ الراكب؛ التذكرة؛ المقعد؛ السعة؛ المحطات,نقل؛ تسجيل/إلغاء تسجيل الصعود؛ إشعارات؛ إجراءات قائمة الركاب,Manifest list columns and open/print affordances.,نمط إدارة المانيفست والركاب والصعود,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ يمنع اعتباره شكلًا حاليًا.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: دعم بيتريز ما زال يوثق المانيفست والركاب؛ لا يوجد ختم إصدار دقيق كافٍ للصور.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,bb65d5ebd16e88185f102422053b202f3647e8876bb3ec6857f06bcfa296af12,11662
EVD-012,SCR-013,Betterez — Betterez,betterez_manifest_comments.png,https://support.betterez.com/content/operations/110_manifests,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,TRV-017 | TRV-018,قائمة الركاب/المانيفست | تسجيل الصعود,تفاصيل المانيفست؛ قوائم الركاب؛ التعليقات؛ الحالات التشغيلية,الرحلة؛ المانيفست؛ الراكب؛ التذكرة؛ المقعد؛ السعة؛ المحطات,نقل؛ تسجيل/إلغاء تسجيل الصعود؛ إشعارات؛ إجراءات قائمة الركاب,Comments tab state and comment editor.,نمط إدارة المانيفست والركاب والصعود,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ يمنع اعتباره شكلًا حاليًا.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: دعم بيتريز ما زال يوثق المانيفست والركاب؛ لا يوجد ختم إصدار دقيق كافٍ للصور.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,32c6cd16fcda5dc7ea7e8b09c99560633d13017859241f133a713f9358ba21e0,18350
EVD-013,SCR-013,Betterez — Betterez,betterez_manifest_passenger_list.png,https://support.betterez.com/content/operations/110_manifests,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,TRV-017 | TRV-018,قائمة الركاب/المانيفست | تسجيل الصعود,تفاصيل المانيفست؛ قوائم الركاب؛ التعليقات؛ الحالات التشغيلية,الرحلة؛ المانيفست؛ الراكب؛ التذكرة؛ المقعد؛ السعة؛ المحطات,نقل؛ تسجيل/إلغاء تسجيل الصعود؛ إشعارات؛ إجراءات قائمة الركاب,Station/passenger operational list.,نمط إدارة المانيفست والركاب والصعود,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ يمنع اعتباره شكلًا حاليًا.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: دعم بيتريز ما زال يوثق المانيفست والركاب؛ لا يوجد ختم إصدار دقيق كافٍ للصور.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,a87ce12f522991757e2a964bdd4d3ff746efb6ceb77acd6900319574b82e4793,59340
EVD-014,SCR-013,Betterez — Betterez,betterez_manifest_boarding_passenger.png,https://support.betterez.com/content/operations/110_manifests,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,TRV-017 | TRV-018,قائمة الركاب/المانيفست | تسجيل الصعود,تفاصيل المانيفست؛ قوائم الركاب؛ التعليقات؛ الحالات التشغيلية,الرحلة؛ المانيفست؛ الراكب؛ التذكرة؛ المقعد؛ السعة؛ المحطات,نقل؛ تسجيل/إلغاء تسجيل الصعود؛ إشعارات؛ إجراءات قائمة الركاب,Passenger boarding/redeem state.,نمط إدارة المانيفست والركاب والصعود,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ يمنع اعتباره شكلًا حاليًا.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: دعم بيتريز ما زال يوثق المانيفست والركاب؛ لا يوجد ختم إصدار دقيق كافٍ للصور.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,c96fc939b573516992977298993d20ddbc3ede82bc7acb336bb7fe20fc46d274,32809
EVD-015,SCR-045,Betterez — Betterez,betterez_manual_sales_tab.png,https://support.betterez.com/content/sales/110_manual_sales,صورة أصلية من مركز مساعدة الشركة,VERSION UNKNOWN,UNVERIFIED VERSION — إصدار غير متحقق,TRV-035,تسجيل بيع/تذكرة يدوي أو دون اتصال,المبيعات اليدوية؛ تسلسل التذاكر للمستخدم,تاريخ المانيفست؛ اسم الجدول؛ السائق؛ أرقام التذاكر؛ الأسعار؛ التسلسل المسند,رفع المبيعات اليدوية؛ حفظ إسناد التسلسل,Manual Sales entry point on shift.,نمط تسجيل المبيعات اليدوية الخاضعة للرقابة,REFERENCE ONLY — مرجع فقط,الإصدار المرئي غير متحقق؛ لا يثبت شكل الواجهة الحالية.,PASS — ناجح: ربط بصري دلالي دون اختراع شاشة.,تحقق خارجي: دعم بيتريز يوثق تسجيل المبيعات اليدوية وتسلسل التذاكر؛ الإصدار المرئي غير مختوم.,PASS — ناجح: المصدر/الإصدار/البصمة/المطالبة محفوظة في فهرس الأدلة.,PASS WITH GUARDRAILS — ناجح مع ضوابط.,dc70c379e48d24ed027b50ccbc1023acc49da0509f3a814adde59abed8949bc4,25887
